well_id,formation_name,porosity_frac,permeability_md,lithology,grain_density_g_cc,clay_volume_frac,quartz_volume_frac,calcite_volume_frac,dolomite_volume_frac,formation_thickness_m,net_pay_m,capillary_pressure_psi,fluid_contact_depth_m,reservoir_temperature_C,reservoir_pressure_psi,oil_saturation_frac,gas_saturation_frac,water_saturation_frac,fracture_density
WELL-1000,Limestone_C,,785.66,Limestone,2.407,0.406,0.2,0.049,0.286,71.81,24.96,1116.91,1902.48,89.63,5655.41,0.782,384.9845317904253,0.872,8.93
WELL-1000,Dolomite_D,0.145,822.5,Dolomite,2.01,0.469,0.461,0.166,,51.52,31.54,338.74,3335.24,,3915.53,0.406,0.254,0.263,3.91
WELL-1000,Limestone_C,,58.12,Limestone,2.512,0.459,0.249,0.176,0.361,68.46,12011.410112955895,986.25,3299.55,118.68,NULL,NULL,,0.614,7.84
WELL-1000,Limestone_C,0.15,287.48,Limestone,N/A,0.249,0.703,0.125,0.068,48.26,17.72,1430.71,2592.58,149.14,3478.06,0.672,0.437,,7.68
WELL-1000,Limestone_C,0.139,N/A,Limestone,,,0.751,0.296,0.125,87.8,35.38,987.32,1644427.5000747398,126.54,5297.73,0.45,,0.241,6.69
WELL-1000,,,222.81,Sandstone,2.383,0.239,0.513,0.213,0.228,29.49,26.41,2592.28,1567.68,60.52,NULL,0.475,0.113,0.664,0.49
WELL-1000,Sandstone_A,0.142,61.15,Sandstone,2.464,0.432,0.408,0.578,0.096,73.78,18.66,928.35,2029.91,13814.329291233684,4955.17,0.756,0.402,0.353,9.88
WELL-1000,Sandstone_A,0.063,390.26,Sandstone,2.602,0.397,0.541,0.351,0.236,15511.226705411787,10.89,418.02,3036.64,,4439.39,0.232,0.251,0.376,0.29
WELL-1000,Sandstone_A,NULL,35.29,Sandstone,2.582,0.317,N/A,0.171,0.368,XYZ,27.39,1642.8,2813.31,145.79,5054.61,0.22,0.297,0.94,3.61
WELL-1000,Shale_B,0.203,180.39,Shale,26.347788087288578,0.3,0.479,0.045,181.1596776802109,63.44,23.86,707.47,2733.78,84.35,2509.52,0.237,0.355,114.78956954543163,
WELL-1000,Sandstone_A,0.149,535.0,,2.42,0.406,0.402,0.393,0.336,98.24,39.39,1158.54,1750.73,88.17,3194.13,0.477,0.461,0.498,5.61
WELL-1000,Limestone_C,0.104,231.83,Limestone,NULL,0.212,,0.072,0.114,36.28,4760.0835553804845,254.14,3118.74,128.32,4521.06,0.343,0.469,0.271,1.78
WELL-1000,Shale_B,0.226,519.68,Shale,,0.118,0.251,0.236,0.038,31.65,20.4,5964.813170303845,2034.36,68.3,3407.41,N/A,,0.571,9.72
WELL-1000,Sandstone_A,119.3392349111289,285.14,Sandstone,2.2,0.424,0.31,0.389,0.192,60.02,XYZ,1924.44,XYZ,73.86,5650.96,0.414,0.326,0.378,7.47
WELL-1000,Limestone_C,0.119,258.0,Limestone,,0.234,0.271,0.134,0.254,23.58,40.58,2280.08,2673.33,145.88,5620.9,0.687,0.315,,8.55
WELL-1000,Limestone_C,ERROR,,Limestone,2.688,0.149,0.744,0.576,0.382,85.36,39.61,274.18,3185.75,133.1,3640.88,0.592,0.493,0.622,5.15
WELL-1000,Limestone_C,0.242,714.35,Limestone,2.143,0.137,0.214,0.448,0.294,59.42,28.08,1034.41,2274.42,109.84,2141.42,0.788,0.051,0.94,4.03
WELL-1000,Shale_B,0.21,37.55,Shale,2.369,0.406,0.699,0.551,,10.34,35.19,985.11,3096.35,94.75,4637.91,0.394,0.445,0.313,1.59
WELL-1000,Limestone_C,0.086,235.05,,XYZ,XYZ,0.222,0.334,0.133,24.55,25.03,2885.13,2702.13,82.67,4348.89,0.657,0.326,0.853,3.27
WELL-1000,Limestone_C,0.169,101.25,Limestone,2.661,0.19,0.6,64.96615784014938,0.196,44.46,,1652.14,1499083.227728346,118.31,2395.68,0.656,403.74006014210795,0.285,9.94
WELL-1000,Shale_B,0.136,624.91,,2024.8231123141993,0.38,0.532,0.18,112.76915217198506,72.84,7.17,1507.35,2052.74,80.07,5377.29,0.647,0.451,0.884,8.23
WELL-1000,Dolomite_D,0.097,696.26,Dolomite,2.38,0.351,0.528,0.202,0.131,96.31,29.3,2394.48,2844.87,101.04,4308.41,0.315,0.112,,XYZ
WELL-1000,Sandstone_A,0.145,31.93,Sandstone,2.247,0.44,0.335,0.45,0.274,4952.206682808164,17979.75587482679,701.58,2173.77,67.55,3462.53,0.732,0.216,0.982,6.54
WELL-1000,Shale_B,0.096,343.5,Shale,2.665,0.436,0.63,NULL,0.296,80.34,39.32,1657.63,,75.35,3627.06,0.548,0.388,0.622,1.62
WELL-1000,Sandstone_A,0.155,,Sandstone,2.639,0.226,0.675,0.379,0.018,,ERROR,2209.02,3013.6,94.54,3021.61,,0.49,0.479,7.74
WELL-1000,Shale_B,,ERROR,Shale,2.102,0.415,0.227,ERROR,0.031,,37.9,251.47,420092.6882088731,101.99,,0.615,,,7.19
WELL-1000,Limestone_C,0.129,325.17,Limestone,2.312,0.233,0.789,,0.366,21.62,25.35,,1542.08,132.97,2884.6,XYZ,0.258,,6.55
WELL-1000,Dolomite_D,NULL,820.39,Dolomite,2.271,0.465,0.441,0.009,0.165,15.15,47.8,1179929.3569132178,,141.5,ERROR,0.428,9.815976622906245,0.61,6.19
WELL-1000,Limestone_C,0.128,931.15,Limestone,2.358,0.23,N/A,0.483,0.2,92.82,28.58,996.57,2250.65,98.23,5408.66,0.476,XYZ,,5.88
WELL-1000,Shale_B,0.076,703.81,Shale,2.481,0.151,0.575,0.578,0.202,52.47,33.74,2094.9,1600329.5650688207,120.41,1299190.0990904497,0.227,0.441,0.512,6.46
WELL-1000,,0.181,292.2,Dolomite,2.4,0.32,0.644,0.51,0.169,93.6,26.29,1240.63,3247.9,XYZ,3748.19,0.308,0.253,0.598,6.36
WELL-1000,Dolomite_D,0.118,378166.736569478,Dolomite,2.04,0.33,0.265,0.349,0.176,82.07,49.09,873.4,1774.94,125.57,5482.18,0.63,0.344,0.927,9.2
WELL-1000,Dolomite_D,38.58189960335899,140331.24813414252,Dolomite,ERROR,0.116,NULL,0.074,0.04,74.92,48.61,2832.53,1750.71,107.66,4730.92,0.66,0.194,0.876,9.83
WELL-1000,,0.095,448.02,Sandstone,2.366,0.225,0.545,0.443,0.111,25.18,26.42,1071.69,XYZ,118.12,4795.44,0.528,0.284,0.649,7.33
WELL-1000,Limestone_C,0.201,499.23,Limestone,2.288,0.302,,0.117,0.157,65.75,43.32,,1641.27,56.49,5292.25,0.586,0.423,N/A,
WELL-1000,Limestone_C,0.107,89.6,Limestone,2.063,0.368,0.335,0.038,0.105,75.58,36.38,1468.89,2922.7,94.88,5841.46,0.308,0.059,0.574,5.1
WELL-1000,,0.233,668.14,Shale,N/A,0.119,0.793,0.581,0.35,41.26,15.2,2449.49,3088.43,,2454.45,0.703,0.023,,
WELL-1000,Shale_B,0.178,N/A,Shale,2.001,0.307,0.536,0.096,0.068,28.89,6.1,972.94,1766.6,91.83,5185.85,0.527,0.087,0.869,5.02
WELL-1000,Sandstone_A,0.133,570.41,Sandstone,ERROR,0.32,70.63760987060787,0.446,0.325,81121.19050176225,30.44,367.88,1863.14,92.61,4400.95,0.779,0.346,0.806,7.21
WELL-1000,Sandstone_A,137.47106983932863,602.01,Sandstone,2.353,0.109,0.607,0.524,0.055,93.07,22.17,2782.24,3314.15,102.89,N/A,0.408,,0.952,8.65
WELL-1000,Limestone_C,0.142,331.66,Limestone,2.639,0.173,0.381,0.224,0.112,XYZ,33.6,703.16,2655.97,107.67,5532.01,0.413,0.434,0.432,5.7
WELL-1000,Limestone_C,0.163,601.83,Limestone,2.316,0.231,,NULL,0.204,47472.436597538916,27.88,735.31,3207.82,98.99,2133.96,0.488,0.051,0.482,0.62
WELL-1000,Limestone_C,0.226,444495.19288414315,Limestone,2.69,0.442,,0.357,0.202,35.94,49.66,2025.37,3128.12,72.31,5362.34,0.464,0.015,0.883,9.52
WELL-1000,Sandstone_A,0.108,,Sandstone,2.581,0.494,0.445,0.51,0.137,73.04,41.34,1551.11,2856.61,148.37,3169.93,0.663,0.036,0.203,7.25
WELL-1000,Limestone_C,0.107,123.07,Limestone,2.519,0.292,443.5151492683262,0.307,0.31,82.56,28.85,2184.42,1934.29,,4271.63,0.702,0.02,0.621,6.97
WELL-1000,Sandstone_A,0.234,444.17,Sandstone,XYZ,0.321,,0.566,0.278,71.5,19.96,234141.13780086229,2210.52,52.22,3362.14,0.294,0.162,0.304,9.71
WELL-1000,Sandstone_A,N/A,72619.58210416471,Sandstone,2.202,0.283,0.247,0.397,0.223,10.21,24.49,950.57,2465.58,88.42,2786.07,0.541,0.198,0.493,1924.136376154492
WELL-1000,,,819.81,Limestone,2.349,0.255,0.577,0.495,0.397,50.01,10.38,570.01,1578.87,110.29,4180.34,0.516,0.021,0.48,7.41
WELL-1000,Shale_B,,135.77,Shale,2.641,118.985323862707,0.8,,0.097,NULL,9.85,260473.90302121887,2887.02,60.57,3881.75,0.432,0.397,0.858,7.19
WELL-1000,Sandstone_A,0.107,531.36,Sandstone,2.016,0.398,0.202,,0.34,95.5,44.18,262.92,,94.0,N/A,0.577,0.355,0.786,8.0
WELL-1000,Limestone_C,0.051,854.52,Limestone,2.362,0.149,0.289,0.314,0.309,67.78,27.31,XYZ,3352.97,60.89,2840.79,XYZ,0.291,0.443,
WELL-1000,Dolomite_D,0.119,366438.0666104878,Dolomite,2.641,0.27,0.729,0.573,ERROR,82.61,44.4,,2053.6,71.63,N/A,187.24908388983357,0.108,0.581,3.84
WELL-1000,Limestone_C,0.18,121.41,Limestone,2.16,0.312,0.53,0.255,0.185,17.36,42.11,2502.53,3087.52,,2664.77,0.398,0.217,0.361,8896.01965503263
WELL-1000,Shale_B,0.055,712.8,Shale,2.569,0.166,167.27449119641284,0.144,0.319,88.88,6.06,2234.06,3441.87,79.74,,0.697,ERROR,0.939,2.62
WELL-1000,Sandstone_A,0.216,68.9,Sandstone,2.259,0.356,0.648,0.293,0.304,33.57,16.96,640.68,3397.57,131.21,2441.74,,0.258,0.485,2.9
WELL-1000,Dolomite_D,,476.26,Dolomite,2.193,0.331,,0.01,0.121,20.39,XYZ,1899.94,2431.93,96.91,5316.16,293.699295117251,0.205,0.383,ERROR
WELL-1000,,0.143,219.72,Sandstone,2.398,0.288,0.445,0.427,0.083,,10.48,2965.18,3128.56,79.03,,0.604,0.373,789.3923610025963,8.82
WELL-1000,Sandstone_A,0.175,433.65,Sandstone,2.235,0.457,0.671,0.165,0.273,,9056.510192175105,2238.08,3240.6,101.28,3772.85,0.209,0.27,0.601,2.17
WELL-1000,,0.16,896.26,Shale,2.375,0.403,0.587,0.316,81.31080445394218,,7.57,2038.27,2285.44,70.69,3507.5,0.649,0.082,0.53,XYZ
WELL-1000,Limestone_C,0.087,949.57,Limestone,2.004,0.316,0.309,0.495,0.238,33.61,9.1,2962.14,3388.92,101.04,3796.48,0.417,0.11,79.92077125241273,7.77
WELL-1000,Limestone_C,0.217,279.49,Limestone,2.115,0.483,,0.227,0.06,22.74,15.14,,2965.0,121.94,3101.8,0.496,0.273,XYZ,9.67
WELL-1000,Limestone_C,0.199,300.44,Limestone,2.243,0.466,0.247,ERROR,0.084,,28.79,2522.46,1604.27,115.72,5455.64,0.574,0.193,0.427,5.2
WELL-1000,Limestone_C,XYZ,656.56,Limestone,2.46,NULL,ERROR,0.575,0.177,83.58,46.3,2321.95,3374.88,65.94,5818.54,0.612,N/A,0.789,9.73
WELL-1000,Dolomite_D,0.149,127.76,Dolomite,2.244,0.101,0.327,0.538,0.284,20.07,14.09,1560.15,3120.93,122.43,5159.53,0.723,0.098,0.44,1.26
WELL-1000,Sandstone_A,0.169,48.74,Sandstone,2.117,0.375,,131.6249233092469,0.194,33.4,39.16,2187.44,3002.18,78.76,4767.64,0.251,0.031,0.759,3673.317992092932
WELL-1000,Shale_B,0.126,509.05,Shale,2.506,112.3806814214996,0.203,0.288,0.296,79.08,44.24,409.43,1542.7,77.55,2811.83,0.652,0.006,482.44586063828024,
WELL-1000,Limestone_C,0.095,125.03,Limestone,2.244,0.278,159.31589152640058,0.076,0.226,74.13,6.94,1048.74,NULL,105.0,3505.95,0.588,0.036,0.228,1.97
WELL-1000,Limestone_C,0.161,534.71,Limestone,2.016,0.316,0.594,0.395,0.333,34.57,21.07,1822.14,N/A,61.78,3338.98,0.439,0.422,0.866,4.03
WELL-1000,Sandstone_A,0.057,49.72,Sandstone,2.483,0.19,0.409,0.578,0.345,48.03,19.02,815.56,XYZ,57.6,5104.28,0.201,,0.374,9.11
WELL-1000,Dolomite_D,0.114,892.09,Dolomite,ERROR,0.46,,0.174,0.045,XYZ,26.02,2788.56,2313.13,64.99,5287.09,0.558,0.01,0.849,5.79
WELL-1000,Dolomite_D,XYZ,382.66,Dolomite,2.36,0.102,0.675,,0.337,38.53,13.61,393.73,1963.71,60.34,2792.0,0.208,,0.468,0.48
WELL-1000,Dolomite_D,0.054,47.76,Dolomite,2.178,0.137,0.45,0.054,0.069,30.02,31.22,845.1,,128.0,2492.26,0.795,0.137,0.542,2.09
WELL-1000,Dolomite_D,0.148,79.62,Dolomite,2.083,0.204,0.239,0.022,,84.31,23.9,1528.08,2099.2,104.29,5288.26,0.33,0.014,0.608,2.29
WELL-1000,Limestone_C,0.188,584.74,Limestone,2.338,0.154,0.399,0.529,0.355,21.53,34.48,904.82,XYZ,101.05,NULL,N/A,0.306,0.791,3.12
WELL-1000,Sandstone_A,0.21,932.75,Sandstone,2.303,0.383,0.311,0.235,0.301,57.08,43.23,,2947.84,94.25,,0.364,0.093,0.951,0.05
WELL-1000,Sandstone_A,0.091,238.02,Sandstone,2.163,0.43,0.38,0.064,0.33,93.34,42.72,1869.82,,145.89,3961.61,0.704,0.343,0.675,1762.0830203106786
WELL-1000,Sandstone_A,0.22,339.03,Sandstone,2.276,0.129,0.355,169.50069780945546,0.227,49.13,44.29,2628.77,NULL,131.17,,0.492,0.164,N/A,6.28
WELL-1000,Limestone_C,0.249,440.39,Limestone,2.409,0.128,0.68,XYZ,,72.87,16.09,1306.94,2059.89,59.24,5218.17,0.276,0.389,0.509,
WELL-1000,Dolomite_D,0.178,117714.50512063755,Dolomite,2.517,0.176,0.665,0.175,0.127,,9.15,NULL,2543.93,50.18,2823.87,,0.006,0.947,0.64
WELL-1000,Sandstone_A,0.094,,Sandstone,,0.479,0.283,0.373,0.113,32.87,15.69,2263.9,NULL,73.84,,0.256,0.375,0.222,
WELL-1000,Limestone_C,0.183,802.99,Limestone,,NULL,0.225,0.375,0.236,52.16,23.58,2264.07,3051.92,100.75,5099.72,0.517,0.428,0.916,0.39
WELL-1000,Sandstone_A,0.117,464.73,Sandstone,2.443,0.299,0.776,0.036,0.367,73.61,19.29,1160.9,3034.45,143.41,4632.32,0.364,0.494,0.88,4.97
WELL-1000,Limestone_C,,951.84,Limestone,2.049,0.283,0.757,0.577,0.042,11.18,46.17,2058.14,1904.84,69.03,3458.81,0.788,0.286,0.336,6.09
WELL-1000,Limestone_C,0.082,79.03,Limestone,2.496,0.362,0.739,0.326,0.169,52.08,9.5,2408.01,3126.03,73.52,4237.17,0.588,0.393,0.61,6.75
WELL-1000,Shale_B,0.064,,Shale,2048.333434375249,0.236,0.778,0.485,0.1,87.21,38.94,504.98,3440.75,55.85,5625.79,0.476,0.224,XYZ,1.95
WELL-1000,Dolomite_D,0.14,724.98,Dolomite,2.048,0.482,0.263,0.448,0.137,98.43,45.37,1346.86,2702.08,108.38,5193.73,0.599,0.428,86.53051007240082,6.22
WELL-1000,Sandstone_A,0.128,483.1,Sandstone,,0.108,0.313,0.262,0.137,93.07,20.99,,2717.66,103.06,XYZ,0.797,,0.896,2.36
WELL-1000,Limestone_C,0.079,927.31,Limestone,2.444,0.462,0.779,0.2,N/A,13.01,14.03,1877.79,NULL,78.54,5285.49,0.731,0.398,0.2,4.53
WELL-1000,Sandstone_A,0.16,300.65,Sandstone,,,0.646,0.425,0.07,41.28,7.93,603.74,2740.83,147.11,4151.58,0.65,0.281,0.808,3.36
WELL-1000,Sandstone_A,0.123,607.21,Sandstone,ERROR,0.431,0.709,0.28,0.321,71.95,9.0,1770.45,2041.87,88.6,5044.64,0.633,0.278,0.486,2837.0949996632403
WELL-1000,Shale_B,0.155,6.96,Shale,2.111,0.412,0.577,,0.061,N/A,,1834152.0669134636,2339.65,ERROR,5769.99,0.489,0.266,NULL,
WELL-1000,Limestone_C,0.088,84.41,,2.093,0.298,0.447,0.277,0.056,69.04,7.58,,1996.71,54.18,3161.4,0.459,0.189,0.382,7.66
WELL-1000,,0.174,17.08,Sandstone,N/A,0.5,0.602,0.262,246.12684719833973,,30.78,1862.29,2837.16,103.55,4117.53,0.774,0.286,0.779,6.57
WELL-1000,Shale_B,0.134,923.53,Shale,2.426,0.323,0.622,0.108,0.385,54.74,14.36,544.0,2997.19,131.01,2236.47,0.609,0.139,N/A,5.95
WELL-1000,Sandstone_A,0.232,918.7,Sandstone,2.348,0.108,0.33,0.257,0.37,88.87,31.32,XYZ,3215.16,83.49,4920.02,0.514,0.453,0.348,1.11
WELL-1000,Dolomite_D,0.166,661.69,Dolomite,2.088,0.181,0.343,0.377,0.235,71.85,18.99,1119.47,3086.96,117.5,3221.28,0.48,0.364,0.345,
WELL-1000,Limestone_C,0.098,572.17,Limestone,2.478,0.475,N/A,0.167,0.363,78.19,26.62,306.14,724033.5283502456,XYZ,4309.51,0.597,0.021,0.624,3.73
WELL-1000,Shale_B,0.095,832.3,Shale,1615.8365304310237,0.153,108.50383043752429,0.441,0.205,11276.155713936849,35.72,109.24,2974.44,149.87,5355.44,0.429,0.457,477.42138611335815,0.78
WELL-1000,Dolomite_D,0.152,XYZ,Dolomite,2.393,0.116,0.542,0.135,0.189,48.67,9.14,N/A,2456.54,90.74,2278.62,0.791,0.269,0.67,1210.639967084327
WELL-1000,Shale_B,0.134,352.34,Shale,2.397,62.736779953850274,0.283,0.168,0.273,76.17,29.35,2177.24,1723.0,103.3,5280.97,0.311,0.214,0.777,7.09
WELL-1000,Sandstone_A,0.219,452.28,Sandstone,2.268,0.223,0.568,0.001,0.189,31.31,NULL,,3180.3,145.17,,0.404,0.325,0.403,8.84
WELL-1000,Dolomite_D,0.105,872.15,Dolomite,2.333,0.361,0.27,0.554,52.9900727598623,39.12,19.14,,3028.67,103.08,3174.96,0.749,0.192,0.746,5.91
WELL-1000,Dolomite_D,0.237,223.62,Dolomite,2.072,0.142,0.69,0.143,0.022,25.4,1106.486806277223,,1610608.5490468282,90.35,2137.17,0.711,0.059,0.968,1452.1185452274053
WELL-1000,Shale_B,0.089,941.18,Shale,2.005,0.103,0.418,0.536,0.297,11.21,14.2,703.18,2564.45,69.46,4026.31,0.387,31.287664001328686,0.778,9.79
WELL-1000,Limestone_C,0.071,878.57,Limestone,2.588,,0.203,0.029,0.088,22.35,16.96,,2230.38,146.97,5912.76,0.561,0.086,0.301,0.49
WELL-1000,Sandstone_A,0.132,360.88,Sandstone,2.664,0.386,0.426,,0.155,77.27,10918.895428321934,2578.3,2906.36,51.02,2534.84,181.93772714192582,0.332,154.74824206363485,1.1
WELL-1000,Limestone_C,0.074,556.24,Limestone,2.698,0.232,0.74,0.517,N/A,28.25,16.02,2732.11,,,4187.69,0.537,0.257,0.889,7.79
WELL-1000,Dolomite_D,0.116,,Dolomite,2.605,0.191,0.271,0.021,0.147,N/A,49.31,1045.19,1721.59,138.58,3181.94,0.64,0.205,0.745,4.24
WELL-1000,Dolomite_D,0.06,589.24,Dolomite,2.687,0.233,0.227,0.388,0.358,81.66,26.01,650.77,1730.33,119.1,5113.82,0.593,0.457,0.738,6.63
WELL-1000,Limestone_C,0.144,285.85,Limestone,ERROR,0.248,0.79,0.025,0.043,39.4,,411.14,1957.87,ERROR,2760.09,0.631,0.185,,1.66
WELL-1000,,,361.98,Limestone,XYZ,0.114,0.659,0.331,0.052,23.12,38.58,1310.85,2201.88,146.17,3619.42,0.548,0.401,0.296,7.39
WELL-1000,Limestone_C,91.4753986946212,675.95,Limestone,2.339,0.394,0.369,0.168,XYZ,55.46,34.66,,2776.49,148.52,4765.18,0.464,0.106,0.204,4.97
WELL-1000,Sandstone_A,,279.16,Sandstone,2.388,0.105,,0.348,0.394,32.26,8.92,759.01,2379.82,93.86,2515.13,0.645,0.435,0.744,1.93
WELL-1000,Dolomite_D,,XYZ,Dolomite,2.669,0.469,0.566,0.477,0.001,36.11,34.98,159.49,2490.52,130.56,5859.84,0.361,0.387,0.604,6.86
WELL-1000,Dolomite_D,0.232,224.63,Dolomite,2.387,0.495,0.729,XYZ,0.354,51.93,40.69,1288.98,1919.11,90.66,4922.64,0.312,0.085,0.216,6.06
WELL-1000,Dolomite_D,0.14,159.93,Dolomite,2.251,,0.505,0.192,0.129,26.84,42.38,557.52,3060.15,42861.676400274504,5853.13,0.693,0.459,0.388,8.02
WELL-1000,,0.091,XYZ,Shale,2.071,0.456,0.469,0.496,0.034,50.08,24.16,NULL,2894.55,124.8,2109.28,0.321,0.235,0.803,2.14
WELL-1000,,0.139,304.06,Shale,2.028,70.9212734177731,0.275,0.354,0.22,61.79,NULL,160.04,1819.35,139.77,5697.9,0.748,0.478,144.11583028394259,8.22
WELL-1000,Limestone_C,,138.06,Limestone,2.367,0.169,0.495,0.228,0.046,96.38,18.15,1104.55,2847.97,,3130.97,0.437,0.384,0.754,5.92
WELL-1000,Sandstone_A,0.126,604.06,Sandstone,2.179,0.277,0.324,0.403,0.008,37.57,36.73,,3120.68,120.59,5517837.169010937,0.543,0.439,0.4,8.24
WELL-1000,Sandstone_A,0.227,255.7,Sandstone,2.398,0.295,0.576,0.457,0.125,19.04,5634.539489176456,1762.83,ERROR,98.61,5644.48,0.404,0.405,0.493,3.07
WELL-1000,Sandstone_A,0.199,289.51,Sandstone,2.01,0.277,0.392,0.149,,1458.0287692540912,47.67,2378.69,2720.8,113.98,4450.45,0.419,0.48,0.914,1.74
WELL-1000,Shale_B,0.237,906.12,Shale,2.558,0.139,0.418,0.384,0.398,,30.91,1042.47,1832.54,128.41,2526.01,0.354,0.271,0.664,XYZ
WELL-1000,Sandstone_A,0.21,438.42,Sandstone,2.674,0.393,0.607,0.272,0.341,23.81,28.38,1945.03,3478.06,57.65,3871.43,0.579,0.247,0.307,8.23
WELL-1000,Limestone_C,,NULL,Limestone,2.147,0.468,0.541,0.299,0.332,14.64,20.63,2906.09,2008.94,68.67,2940.71,0.225,,0.717,9.97
WELL-1000,Limestone_C,0.204,775.74,Limestone,2.099,0.446,0.557,0.485,0.399,55.86,17.77,525.87,2874.25,147.59,5512.6,0.792,0.445,0.961,3.07
WELL-1000,Sandstone_A,0.149,886.68,,1070.7762471968006,0.455,0.453,0.14,0.319,32.66,36.79,246.0,2179.24,89.4,5761.95,0.761,ERROR,0.459,
WELL-1000,Shale_B,0.203,19.03,Shale,2.089,46.061487357364285,0.345,0.197,0.295,24.54,35.98,2479.07,1707.94,39244.86723028468,5115.37,0.598,ERROR,0.815,XYZ
WELL-1000,Sandstone_A,61.342352430170465,347056.5094291867,Sandstone,2.465,0.141,0.28,0.373,0.328,13.33,25.66,2023.19,2706.28,133.57,3276.75,0.443,2.7252681707651494,0.332,4.47
WELL-1000,Limestone_C,0.208,953.37,Limestone,ERROR,0.411,0.699,0.23,0.003,66926.07825005661,41.7,1332.21,3366.39,104.4,4420.94,0.719,0.242,,3.67
WELL-1000,Sandstone_A,0.249,92.35,Sandstone,2.086,0.292,0.776,N/A,0.097,17.49,6.18,2285.1,2159.15,117.59,5305.19,0.213,0.305,0.346,2.9
WELL-1000,,0.224,673.74,Sandstone,2.582,0.422,467.85777423364345,0.05,0.169,96.92,29.05,1143.29,1848.18,39877.64579528042,2485.3,0.575,0.089,0.715,9.42
