well_id,date,oil_rate_bopd,gas_rate_mscfd,water_cut_frac,tubing_pressure_psi,casing_pressure_psi,choke_size_64ths,gorp_factor,oil_gravity_api,produced_water_salinity_ppm,downhole_temperature_C,downhole_pressure_psi,CO2_fraction,H2S_fraction,sand_production_rate_lbs_day,ESP_current_amp,ESP_voltage_volts,pump_efficiency_frac,downtime_hours
WELL-1000,2021-02-10,2378.8,2182.4,0.1,1806.62,1450.19,35.1,0.574,39.0,12735.5,84.03,2893.06,0.004,0.002,66.94,NULL,523.79,0.973,
WELL-1000,2021-02-11,1373.0,7700.9,0.32,2766.23,2087.07,43.3,1.043,29093.273962964966,35437.1,,2314.6,0.021,0.005,70.8,36.92,333.14,ERROR,22.03
WELL-1000,2021-02-12,864.6,N/A,0.1,231457.41663506674,2848.9,26.8,1.803,21.3,31165.8,71.55,4676.05,0.016,0.001,27.34,56.5,238.96,0.757,19.79
WELL-1000,2021-02-13,2173.0,1837.9,0.24,1382.96,850.0,,1296.9910306426525,38.8,XYZ,68.1,N/A,0.008,0.01,28.94,23.91,189.06,0.565,21.76
WELL-1000,2021-02-14,1479.9,1974.2,0.35,2606.1,993.7,9.0,1.484,20.3,20402.8,54.33,2401145.815469213,0.018,0.007,4360.845124266586,80.46,535.07,0.745,13.6
WELL-1000,2021-02-15,2123.7,3891.1,0.1,4082.49,N/A,21.4,1.761,33.5,13930.0,115.82,3847.73,NULL,0.001,86.67,85.76,309.23,0.68,18.18
WELL-1000,2021-02-16,1827.6,9066.5,0.28,NULL,1499.92,24.8,1.181,,46319.4,89.03,5921.61,0.002,,89.72,28.09,249.3,132.0992694220284,1291.2869027481902
WELL-1000,2021-02-17,722.0,7177.8,N/A,2815463.311177009,1627.34,48.0,0.68,21.9,,87.16,2200.59,0.047,XYZ,96.14,76.95,410.06,0.802,2.08
WELL-1000,2021-02-18,2721.0,NULL,0.5,2640.49,1157.21,58.1,N/A,22.6,13669.8,109.43,4097.21,0.047,0.002,N/A,98.63,132558.63138876448,0.713,23.71
WELL-1000,2021-02-19,697.5,4285.3,0.11,4670.67,1606.39,32.8,0.766,,14840341.249830265,70.68,4049596.3638193575,0.048,NULL,63.05,13.76,104.47,0.604,11.47
WELL-1000,2021-02-20,2841.0,3039.4,0.28,2603.07,554.74,11.4,1.891,30.2,N/A,69.83,5611.04,0.014,0.004,47.82,91.5,477.68,0.814,18.86
WELL-1000,2021-02-21,984.9,1627.3,0.44,1317634.8161874865,1624.71,29416.633704232452,1.813,35.5,49774.8,114.07,ERROR,0.004,0.005,75.48,87.67,169.4,0.52,N/A
WELL-1000,2021-02-22,2958.4,8061.7,NULL,XYZ,2661.25,58.0,1.164,34.2,27507.7,98.02,3035.83,0.007,0.008,73.25,47.71,NULL,477.1152551575843,10.72
WELL-1000,2021-02-23,548.8,4841.1,0.46,798476.2878052393,740.05,59.9,1.831,20.1,22700.0,90.7,XYZ,0.012,0.008,57.61,63.43,589.2,0.845,22.43
WELL-1000,2021-02-24,360274.5505873808,5783.5,0.42,2539.42,806.67,34.1,0.566,26.0,18779.3,76.1,2863.33,0.042,N/A,87.34,72.02,313.6,0.958,779.9508850527602
WELL-1000,2021-02-25,752.7,,0.26,1454.52,1139.47,37.0,,35.1,33219.9,100.34,3218.36,0.023,0.003,81.11,27.15,302.19,0.772,9.05
WELL-1000,2021-02-26,1742.5,8025.6,0.43,3979.63,2684.43,17.6,0.785,21.9,39653.5,53.12,2176.15,0.033,0.002,83.26,84.79,367.19,0.523,13.21
WELL-1000,2021-02-27,2713.9,NULL,ERROR,3277.79,2410.85,44.7,0.792,33.3,47583.6,118.64,5833.86,0.005,0.008,47.86,92.7,369.59,0.836,14.71
WELL-1000,2021-02-28,2441.6,9357.9,0.42,1687.43,1616.14,14.6,1.823,37.1,49390.4,91.49,4424.89,,0.003,68.21,70.07,507.16,0.709,14.33
WELL-1000,2021-03-01,654.8,2059.1,0.33,2929.2,N/A,38.8,,31.1,15595.7,90.91,3529.65,0.033,0.005,24.87,29.87,379.82,0.763,14.38
WELL-1000,2021-03-02,1477.5,7106.7,0.48,2920.08,756.52,18.3,0.518,24.5,46612.1,108.47,2923.28,0.036,0.005,29.61,82.42,538.14,,19.49
WELL-1000,2021-03-03,1559.6,8481.3,0.33,1403.77,1433.56,19.6,1.378,39.7,,N/A,4419.83,0.041,0.03091842955388049,60.34,47.29,227.36,0.503,10.58
WELL-1000,2021-03-04,1485.1,3839.4,0.29,2015.76,1430.96,35.0,0.563,33.4,17043.4,74.67,5357.61,XYZ,0.008,98.59,99.52,337.67,0.583,9.25
WELL-1000,2021-03-05,1555.9,1008.6,0.23,2659.32,1467.31,13.5,,23.9,23972.5,26217.37105049422,2992.66,0.019,0.002,69.83,49.51,300.82,0.953,18.06
WELL-1000,2021-03-06,2516.1,6613.8,73.78765330561204,3231.63,1198.05,NULL,1.042,22.5,38823.3,84.18,3763.06,ERROR,0.004,66.25,66.62,219.65,0.751,10.1
WELL-1000,2021-03-07,2268.6,3472.1,0.45,3082.5,1181.04,54.2,1.205,22.5,15182.7,86.99,4283.44,XYZ,0.003,45.11,35.43,454.86,0.935,16.14
WELL-1000,2021-03-08,668.8,5787.6,0.24,,2338.13,15.3,0.73,39.9,14480.7,106.77,,0.3567850833731555,0.002,31.16,94.99,249.69,0.785,2.82
WELL-1000,2021-03-09,1626.2,9338.4,0.39,1099.28,1281.57,16.6,1.645,30.6,46523.9,83.24,2507.27,0.032,0.005,63.8,,181.38,0.647,11.98
WELL-1000,2021-03-10,2945.2,2007.3,,2674.16,2591.36,14.1,1.538,27.8,21788.0,NULL,3304.8,0.0,ERROR,26.1,75.26,144.7,0.93,4.77
WELL-1000,2021-03-11,,6099.4,0.37,4817.79,622.43,10117.354409650938,0.924,35.7,16992802.058564536,105.31,4259.39,0.029,0.004,87.02,63.67,134.8,0.76,22.87
WELL-1000,2021-03-12,1010.9,5092675.847934076,0.49,1907.58,2808.52,51.1,1.867,33.6,N/A,84.27,4088.55,0.047,0.003,68.93,11.07,330.94,0.789,2.65
WELL-1000,2021-03-13,1995.3,2109.8,0.27,2204.72,1112.75,28.5,1.507,N/A,23387.8,19062.236295585597,4771.35,0.021,0.002,54001.823631010506,65.52,148.73,0.954,XYZ
WELL-1000,2021-03-14,2845.7,6635.5,332.7689980215819,887862.1389505054,2296.2,22.0,1.492,36.6,15977.9,68.93,2099.15,0.042,0.009,49.56,,321.83,0.734,17.93
WELL-1000,2021-03-15,769.5,6657.1,0.16,3991.2,1256.1,N/A,0.637,9290.004038239495,35533.5,80.64,,0.016,0.003,61.58,52.32,155.07,0.959,18.12
WELL-1000,2021-03-16,1256.8,7514.1,ERROR,1714.5,2520.7,53.3,0.708,30.7,45008.2,100.45,NULL,NULL,3.3308631982974983,39.99,13.75,,0.873,17.21
WELL-1000,2021-03-17,1130.7,5579.3,0.15,1059.81,1438.52,20101.5398966101,1.969,N/A,30774.3,2595.428777543668,5508.25,0.03,0.008,18.69,57.57,208.86,0.945,4.03
WELL-1000,2021-03-18,2882.4,5513.0,0.39,2879.98,2349.42,53.4,1.316,38.6,14871.4,89.85,2615.66,0.001,0.004,77.69,64.12,542.89,0.572,N/A
WELL-1000,2021-03-19,1800.4,,0.33,N/A,1692.22,32.8,726.4537799714147,34.4,49554.1,118.65,5388.05,0.019,0.006,77.78,83.49,357.03,0.652,23.34
WELL-1000,2021-03-20,N/A,8806.7,281.1527939910749,3444.48,1734.0,,1.633,38.2,45704.9,102.74,5811.41,0.018,0.001,53.62,,351.18,0.676,17.82
WELL-1000,2021-03-21,1015314.4411231006,940112.579422434,0.41,4052.36,,57.3,1.016,23.3,41365.2,72.55,5842.63,0.04,0.005,26.36,56.26,333.76,0.598,1560.1114362222277
WELL-1000,2021-03-22,1387.0,9781.1,0.38,,1044.35,53.2,0.717,,46565.2,61.16,3378.65,,0.008,54.97,14.42,239.55,0.631,17.54
WELL-1000,2021-03-23,2466.2,6782.9,0.13,NULL,1684.68,61.6,0.752,26.1,20406602.440866075,66.79,5132.05,0.031,0.001,90.81,163.0694383015144,373.9,0.689,13.65
WELL-1000,2021-03-24,2667.1,2986.7,0.49,,1817.75,21.8,878.0073733392521,N/A,,71.59,4223.66,0.006,0.003,79.02,93.49,149.54,0.587,18.95
WELL-1000,2021-03-25,2810.0,6949.1,0.16,1852.23,2218.77,9.2,1.051,30.5,ERROR,91.94,5772.04,XYZ,0.0,30.77,68.44,236.38,0.972,15.62
WELL-1000,2021-03-26,2683.1,2771.6,,2309.81,834.09,29.3,1.412,37.4,31695.1,117.75,2244.54,0.012,0.006,85.03,ERROR,507.84,0.788,16.65
WELL-1000,2021-03-27,2049.8,2486.2,0.44,3753.0,2125.57,53.6,0.755,34.6,42226.4,,,0.039,0.001,22.64,54.69,170.85,0.989,1659.9662378661635
WELL-1000,2021-03-28,2593402.5468993657,9656.3,0.46,2883.68,,18.1,1.354,36.9,47446.5,,4294.92,0.039,0.008,,78.2,429.41,0.75,22.32
WELL-1000,2021-03-29,1515.9,8182.0,0.15,3140.37,2611.18,21.3,0.851,20.8,40085.4,72.34,3971.25,0.006,0.006,46.25,13.83,340.15,0.518,16.24
WELL-1000,2021-03-30,773.6,2239.2,0.48,4970.86,2092.97,21.8,114.80802624092918,23.4,38418.8,109.05,4187.58,NULL,0.001,74.33,91.46,457.5,0.692,7.87
WELL-1000,2021-03-31,908267.6555347068,6560.5,0.35,1743.09,2009.53,48.2,0.525,21.4,,82.02,1287358.768995234,0.033,0.003,85.77,51.96,234.42,0.805,18.13
WELL-1000,2021-04-01,2486.6,9738.4,0.37,3561.36,521.95,32.7,0.975,23.3,17514.9,106.88,4641.45,0.024,0.007,35.6,8.91,558.28,0.876,N/A
WELL-1000,2021-04-02,1625.9,6529.0,0.32,3929.83,,17.9,1.356,35.5,11290.0,62932.70438847972,4509.83,0.044,0.24513516876260233,36.49,81.33,118.58,,4.99
WELL-1000,2021-04-03,1695.7,1331.3,0.37,2146.65,1047.2,45.3,0.858,39.3,23010497.758932248,76.26,5773.88,ERROR,0.005,1.21,68.73,109.81,0.933,6.23
WELL-1000,2021-04-04,2712.7,1071.7,0.27,1254.38,,18110.53482337007,NULL,36.1,10484.7,97.38,4784.5,0.011,0.007,68.2,98.54,192.04,,1.96
WELL-1000,2021-04-05,2464.6,5986.1,0.32,4030.09,1757.95,15.8,0.704,24.0,34997.8,105.85,261651.93558451405,0.042,0.001,32.78,98.13,480.21,0.561,ERROR
WELL-1000,2021-04-06,990.7,4447.3,0.42,4522.14,N/A,64.0,1.737,,16252.8,89.34,5655.53,0.009,0.001,25.83,72.57,388.41,0.759,12.07
WELL-1000,2021-04-07,103172.86230901521,7335.7,0.5,3563.63,704.46,14.4,1.618,29.8,11747.6,66.7,5884.3,0.048,0.9227125267756022,12.89,XYZ,200.83,0.726,12.33
WELL-1000,2021-04-08,824.9,9120.8,0.46,2888.51,1832.03,39.6,0.866,33.3,41875.4,64.7,5938.54,0.045,0.01,11.5,79.08,563.55,NULL,
WELL-1000,2021-04-09,1207.5,4697.6,0.25,3458.26,1409.99,16.0,1.225,25.2,38395.8,73.4,4356.53,,0.007,75.94,98.15,572.86,0.504,13.87
WELL-1000,2021-04-10,2729.5,1951.5,0.36,3928.33,2252.16,20.1,0.586,XYZ,49987.8,86.77,2884.37,0.02,0.007,10.83,52.69,140.0,0.637,22.82
WELL-1000,2021-04-11,2050.0,3759.5,0.19,2207.12,2726.01,,1.421,,,84.82,,1.0441830528860778,0.008,98.29,9.74,558.84,0.652,11.03
WELL-1000,2021-04-12,2353.0,3011.0,,2550.76,XYZ,13.0,0.552,39.6,21568.6,47189.113607613144,5168.98,0.038,0.007,33.63,85.71,544.33,0.575,6.26
WELL-1000,2021-04-13,673785.3088436939,3272.8,0.25,2752.42,,19.5,1.157,35.5,27015.7,93.87,837153.5719055533,0.014,0.005,79.34,35232.04512120652,515.86,0.528,15.68
WELL-1000,2021-04-14,1831.0,,0.25,4949.91,748.16,35.1,1.59,39.3,N/A,67.41,4039.46,0.005,0.009,12177.154438086844,232.82921296012339,140.3,0.836,1.72
WELL-1000,2021-04-15,1113.3,9576.9,0.17,2424.44,2890.69,ERROR,1.591,20.9,,80417.37098931627,5935.15,0.036,0.006,8239.39825843891,46.95,205.91,0.701,1.81
WELL-1000,2021-04-16,1526.4,3693.6,0.39,2552.64,2403.22,XYZ,0.758,20.2,32970698.105051983,74.33,3715.27,0.049,,2.99,53.95,531.33,0.518,17.13
WELL-1000,2021-04-17,1898.8,7882.7,ERROR,2805.15,1499.59,17.7,1.544,29.2,10178.6,57.62,2686.14,,0.007,28.11,99.93,,0.827,9.02
WELL-1000,2021-04-18,570.4,4575.8,0.15,4994.86,2593.46,9.1,0.995,34.5,28096.0,90.45,5713.84,0.002,0.005,99.24,40.27,424.43,0.713,11.31
WELL-1000,2021-04-19,413280.4252603701,6859.8,0.22,2696558.5852778545,2596.21,32.6,1.998,36.9,47849.5,79.35,,0.022,0.001,95.29,18.52,321.76,0.555,17.96
WELL-1000,,1567.2,7767.8,0.48,3095.78,1595.38,XYZ,,34.4,48900.3,109.54,2523.85,0.014,0.005,,,201.6,,20.36
WELL-1000,2021-04-21,1844.2,2237.2,0.14,3293.54,755.88,18.0,1.648,29.6,10544422.498049041,,5988.34,0.049,0.005,64.4,80.74,228.09,304.3167337521998,16.65
WELL-1000,2021-04-22,1453.1,3928.9,0.49,1961.86,1942.79,55.3,1.656,36.8,48118.1,93.86,3034.92,0.006,0.006,89.58,77.44,374.88,0.621,0.42
WELL-1000,2021-04-23,607.1,9321.1,0.19,2718.78,NULL,XYZ,1.593,22.8,16799.5,99.32,2994.5,0.019,0.0,0.95,90.71,223.27,0.936,
WELL-1000,2021-04-24,2548.2,8470.5,0.49,4259.08,2777.35,36.5,0.568,26.4,12140267.065101191,100.2,4280.12,0.049,0.001,,88.55,322.68,0.786,6.93
WELL-1000,2021-04-25,608.2,8484.2,N/A,1269.27,916.17,23.1,0.543,26.0,43453.0,106.88,2387.06,0.046,0.008,84.0,21.57,126.97,0.679,17.85
WELL-1000,2021-04-26,1422.7,8452.4,0.5,3560.97,1557.3,,0.891,,22226331.155491304,74.91,4854.8,0.041,0.001,27.86,62.97,284.83,0.876,23.27
WELL-1000,2021-04-27,1562.0,6264.7,0.19,1685.64,2472.93,11.4,1.435,30.1,25684.5,100.57,5727.97,0.008,0.0,71.35,64.77,240.5,0.603,6.41
WELL-1000,2021-04-28,1985.6,9612.1,0.17,N/A,2279.19,10.8,1.934,,11320.7,81.81,2547.9,0.04,0.001,48.83,25.85,,N/A,17.63
WELL-1000,2021-04-29,2807.6,2744.7,0.18,4491.22,723.17,16.8,NULL,24.4,26953.2,106.44,5266.97,0.035,0.009,47.73,52.31,581.98,0.721,12.99
WELL-1000,2021-04-30,1135875.6082022886,3641.2,0.46,1766.51,943.55,50.1,0.747,29.2,24458.7,105.34,3903.27,,0.003,59.6,64.83,504.12,0.759,14.36
WELL-1000,2021-05-01,1408.2,,112.64128746458049,4503.78,1914.53,61.8,1.848,39.3,30736.3,60.11,2652.16,0.013,0.006,12.05,51.43,570.04,0.926,ERROR
WELL-1000,2021-05-02,767.2,6024.7,0.35,2969.79,1311.35,62.4,1.224,30.1,37349.0,51.47,3182.32,0.011,0.001,12.74,94.02,101.42,0.829,21.97
WELL-1000,2021-05-03,1634.7,9250.3,0.27,1913.93,2499.92,XYZ,1.899,30.4,28708.0,101.3,,0.032,0.005,65.56,61.95,503.75,0.543,3.47
WELL-1000,2021-05-04,2351.5,N/A,0.18,1607.21,165841.66039611134,22.0,1.112,29.3,43087.1,56.31,4165.29,0.027,0.003,ERROR,27.33,359.61,,21.38
WELL-1000,2021-05-05,560.5,3327.3,0.48,3677.28,1204061.2570322822,23.4,0.604,33.1,40470.5,82.0,5979.7,0.038,0.01,70.05,28.6,308.88,0.741,12072.543125310987
WELL-1000,2021-05-06,ERROR,7638.2,0.47,,683.05,14.1,1.763,29.7,41470.3,N/A,2281.05,0.026,0.008,10.68,99.06,356110.6894295194,0.993,
WELL-1000,2021-05-07,2227.8,6353.6,0.29,315125.9541565346,2770.17,,1.662,32.9,46538.5,73.13,5746.37,0.042,0.007,12.21,6.15,,0.675,6.72
WELL-1000,2021-05-08,789.1,8594.1,0.33,666812.6850011441,2538.18,39.4,0.548,24.4,16147.8,8623.89772231791,3592.97,0.045,0.009,18.57,95.94,151.9,0.796,17.49
WELL-1000,2021-05-09,1937.2,7735.6,0.32,979533.0633247031,2954.57,31.4,1.409,39.7,21173.0,64.98,2310.59,0.006,ERROR,33.75,88.34,393.05,0.796,11.18
WELL-1000,2021-05-10,2982.3,,0.48,4905.39,2400.34,52.7,0.951,29.5,26789.8,90.65,5242.15,0.039,0.001,18.93,XYZ,261.25,0.999,5.27
WELL-1000,2021-05-11,2442.3,5583.6,0.15,3606.12,1276.91,30.1,1.141,37.7,26089.5,55.72,2431.91,0.021,0.009,97.25,N/A,218.04,N/A,19.29
WELL-1000,2021-05-12,1170.1,2037.9,0.45,2378.42,1215.46,,498.1683840007871,31.3,43491.6,116.13,5043.16,0.031,0.004,66.37,59.21,590.08,0.589,5.14
WELL-1000,2021-05-13,NULL,8781.2,0.11,1771.2,2786.7,12.6,0.646,37.6,34775.3,68.21,4532.68,0.016,0.0,35.86,58.35,N/A,0.981,21.61
WELL-1000,2021-05-14,547.3,7967.5,0.26,4287.4,774.31,11.6,1.707,38.3,14671.6,87.67,3116.44,0.002,0.002,30.6,,519.53,,0.8
WELL-1000,2021-05-15,2201.3,5401.1,0.13,1020211.6979315963,2209.79,62.1,1.025,27.5,17115033.600972246,83605.14319149246,,0.013,0.005,,77.85,505.32,0.635,13.1
WELL-1000,2021-05-16,1471.6,4430.5,0.42,1581.94,1727.33,14.6,319.5640423673455,33.4,14396.3,3276.6664031047626,2650365.799809786,0.04,,7.87,36.12,,391.0557306197922,7.94
WELL-1000,2021-05-17,2446.6,4538.1,0.26,3502.98,594.91,54.2,0.783,30.9,16330.0,61.48,4141.57,0.044,0.005,53.19,12.08,179.11,0.674,
WELL-1000,2021-05-18,2314.8,5176.6,0.38,1226.49,878.4,52.5,,29.0,37218.6,109.85,4132.67,0.028,0.006,38.23,76.1,394.98,NULL,12.16
WELL-1000,2021-05-19,1157.3,4838.5,0.23,2594.43,2385.87,9.0,0.77,24.5,49883.6,118.74,2763.42,0.047,0.006,N/A,46387.49617884985,364.49,0.659,5.78
WELL-1000,2021-05-20,2852.9,5670.0,37.25416181841933,N/A,1322.62,38.3,1.915,28.8,13099.8,89.18,4360.22,0.014,,69.94,16.52,,0.668,6.75
WELL-1000,2021-05-21,1878.8,3477.4,0.19,2181065.5796995205,877.32,N/A,1.064,22.3,29835.7,111.57,286271.7925573629,0.024,0.001,58.64,19.77,304.72,57.140774068574515,17.49
WELL-1000,2021-05-22,1252.8,2399.7,0.25,1882.77,709.42,18.9,1.954,30.4,,76.56,2103.32,ERROR,0.005,68.26,8796.106182664997,364.52,0.934,2.19
WELL-1000,2021-05-23,996.3,6361.5,0.32,3542.65,2037.72,50.5,1.119,25.9,34753.0,86255.22188634562,4714.73,0.03,0.007,NULL,66.3,162.13,0.888,17.8
WELL-1000,2021-05-24,514.0,2078.9,,2722.39,1828.68,43.7,1.014,24.7,35743.1,53.58,914004.3771367172,0.032,0.009,,59.29,151.77,0.675,1.3
WELL-1000,2021-05-25,2924.6,9338.6,0.32,3140.14,1336.36,41.8,1.958,N/A,12155.3,75.54,2426.64,0.041,0.003,NULL,38.4,524.63,0.665,8.93
WELL-1000,2021-05-26,2714.1,,0.42,4283.59,2790.51,51.1,0.985,23.5,11407.3,84.38,NULL,0.045,0.006,62.73,93.05,558.7,0.912,5.08
WELL-1000,2021-05-27,2847.7,,0.28,3523.35,2589.44,XYZ,1.037,26.4,13422276.718641598,79012.56072542869,5496.87,0.027,2.455337366372234,39.28,9.1,569.07,0.599,12.16
WELL-1000,,880.2,5691.5,0.4,1961.76,2239.13,37.8,1.087,31.3,15573.7,59.93,4823.78,0.05,0.006,69.47,33.31,142.7,0.677,3.22
