seismic_line_id,shot_point,twt_ms,amplitude,frequency_hz,reflection_coefficient,acoustic_impedance,velocity_m_s,quality_factor,offset_m,azimuth_deg,inclination_deg,wavelet_type,gain_db,noise_level_db,processing_version,survey_name,inline_number,crossline_number,pol_frequency_hz
LINE-1,35,4502.75,315.82,10.29,0.8317,9925247.58,3627.3,NULL,1132.4,ERROR,6.43,Klauder,-2.97,-9.97,v1,Survey_B,XYZ,2234,16.82
LINE-1,36,3609.53,-151.48,13.48,-0.7329,6119733.5,2073.87,46.02,7205.63,101.39,19.11,Ricker,-9.9,-18.06,v3,Survey_B,1529,2586,17.13
LINE-1,37,4258.77,-325.52,45.99,0.7368,9590401.6,3942.04,,9881.18,358.05,,Ricker,2.84,2.08,v1,Survey_B,1796,2600,32.28
LINE-1,38,3963.86,304.65,,-0.8746,21672576.59,1970.55,59.67,2358.69,16982.28884850803,11.16,Ricker,4.16,-7.86,v2,Survey_B,1602,2898,20.51
LINE-1,,4081.98,134.79,51.73,-0.1428,22702916.02,4910.47,12.99,5448.47,106.03,21.71,Klauder,-5.53,-18.71,v3,Survey_B,1063,2062,40.88
LINE-1,40,,463.16,29.59,-0.6941,16196238.12,,43.91,6871.19,185.18,24.8,Ricker,4.99,-3215.8341998087,v3,Survey_B,ERROR,2836,31.61
LINE-1,41,4808.33,-11.16,4018.5081220166817,-0.135,24200026.06,1350214.1607845498,81.88,7970694.410849957,88.69,0.85,Ricker,-5.31,-4.87,v3,Survey_C,1439,2967,16.1
LINE-1,N/A,1195.46,347.97,25.23,-0.6883,7650058.99,1673.17,14188.414384725493,2530.64,,10.02,Ricker,-4.14,-14.67,v3,Survey_C,1182,2337,15.22
LINE-1,43,3800.3,-88.46,39.82,-0.3599,10547064.1,N/A,,1517.06,20.53,23.7,Ormsby,0.33,18.48,v3,Survey_B,1288,2721,34554.88085261051
LINE-1,44,4732.14,,34.56,-0.9613,15175335.73,1514.13,85.87,,316.75,26.7,Klauder,-0.81,-1.86,v1,Survey_B,1287,2589,34.9
LINE-1,45,1212.55,725.68,37.24,0.9535,12041483.96,2477.75,87.2,5186.82,ERROR,13.66,Ormsby,7.66,NULL,v2,Survey_C,1059,2183,7095.469922634431
LINE-1,20140.3879034107,3173.99,-12.65,57.89,0.1493,21944056.31,2551.6,95.2,N/A,260.56,26.18,Klauder,-5.42,-0.95,v3,,1813,2707,23.46
LINE-1,47,4908.23,-88.6,24.84,-0.1792,6129327.05,4083.12,27.05,5176.46,41.47,14.1,,-7.99,-10.09,v3,Survey_C,1073,NULL,49.54
LINE-1,48,1144.41,583.21,12.29,N/A,19492091.96,4838.17,85.87,7399.27,171.08,19.9,Ormsby,-7.82,14.02,v1,Survey_C,1947,2771,42.9
LINE-1,49,4317.73,47.07,XYZ,-0.9007,22458413.65,2872.88,,4688.08,149.47,,Klauder,-9.31,1.61,v3,Survey_A,N/A,2085,26.39
LINE-1,ERROR,4542.25,-599.91,13.6,-0.6689,23742400.32,2246.79,24.61,389.46,290.28,28.27,Ricker,9.82,11.45,v2,Survey_C,1672,2677,33.01
LINE-1,51,4686.91,552.39,4373.744357740626,-0.4896,8663779.56,4017.36,65.71,9174.35,330.67,29.21,Ormsby,6.96,-5.95,v2,Survey_A,1755,,43.95
LINE-1,52,1913.89,-135467.35946515523,55.91,-0.2414,7035454.09,3745.06,48.14,6000939.298084419,60283.93655035163,19.53,Ormsby,-1264.0081087196095,-14.48,v3,Survey_B,1090,2368,33.59
LINE-1,53,3374.64,-746.2,38.78,-0.8064,5709831.76,2005.7,72.31,2974.43,,25.8,Klauder,9.88,15.6,v2,Survey_A,1829,2840,39.29
LINE-1,54,1355.09,857.05,35.9,-0.9399,12527616.33,3000.86,54.17,XYZ,54.79,20.35,Klauder,-2.57,-4.46,v1,Survey_A,,2519,46.36
LINE-1,55,3209.99,-35.28,56.18,-0.6648,23428566.82,3356.99,47.68,9612.82,NULL,17.31,Klauder,-4.69,7.6,,Survey_B,1936,2186,38.45
LINE-1,56,1459.1,-718.32,43.64,0.4874,14376471.92,1895.35,31.78,7311.32,NULL,19.0,Ricker,2.23,,v3,Survey_C,1513,2772,17.6
LINE-1,NULL,1601.57,-213.49,34.86,-0.7574,22725465.34,3805.68,78.98,1595.87,254.56,25.95,Klauder,3.15,14.5,v3,Survey_B,1801,2451,24.1
LINE-1,,4587.07,721.33,41.04,ERROR,24959233.81,3575.77,57.85,5442.24,225.86,10.86,Klauder,6.56,16.75,v3,,1617,1136670.6507731038,13.67
LINE-1,59,,-166.0,,0.7962,5556458.88,3374.17,66.86,7646.62,132.41,N/A,Ricker,-6174.1956352646075,3.5,v1,Survey_C,1553,2542,12.52
LINE-1,60,1716.32,-505.92,25.36,,19079756.15,ERROR,83.4,327.68,231.58,8.05,Klauder,,NULL,,Survey_A,1667,2367,34.0
LINE-1,61,3500.55,-548.05,NULL,0.5695,19173483.6,1575.56,42.36,4757.58,58.87,21.86,Klauder,-5.18,-1619.1745024747966,v3,Survey_C,N/A,2835,30.03
LINE-1,N/A,2987.52,407.62,8725.64254948522,,18606965.66,4698.67,90.73,3648.4,,0.48,Ricker,8.95,-9.83,v1,Survey_C,1844,2614,18.44
LINE-1,63,4066.53,,41.98,-0.5992,11164035.7,NULL,24.03,6234.1,101.12,26.37,Ormsby,3897.952789694232,-8.44,v3,Survey_B,1084,2301,18.07
LINE-1,64,1048.92,56837.7691412524,ERROR,0.9877,24625900.48,2018.11,41.43,3781.41,123.19,15.55,Ricker,-7.61,,v1,Survey_C,XYZ,939307.6663193656,37.13
LINE-1,65,1785.58,-880.77,41.9,0.2265,14983960.42,2161.39,38.74,9260.49,326.02,11.33,Klauder,-3.59,-7.27,v1,Survey_A,1521,2618,44.02
LINE-1,66,4712.1,227.53,26.38,-0.3114,17954372.52,4050.69,47385.062299089346,2219.07,216.61,29.16,Ormsby,-8.18,,v3,Survey_C,1121,2445,15.86
LINE-1,67,4393.38,-24.45,20.47,-0.4947,14172556.5,2153.73,49.95,3004.3,331.33,9.19,Klauder,-9.45,8.53,v3,Survey_A,1745,2280,13.99
LINE-1,68,4085.58,-864.1,41.29,0.7093,2497486001.6041923,1809.8,44403.473294421514,4685.15,331.23,10.01,Ormsby,-3.3,7.11,v1,Survey_A,1162,,49.48
LINE-1,69,2010.2,467.77,36.58,XYZ,10881451.48,4685.9,39.71,9438.53,280.01,5.41,Ormsby,4.29,17.14,v1,Survey_A,1679,2844,
LINE-1,70,4645.82,-550.53,42.99,-0.6794,14330806.06,3771.59,29.78,6047.5,130.52,21.0,Ricker,-6.34,9.5,v1,Survey_B,1235,2787,26.46
LINE-1,71,1693.8,422.05,26.05,-0.4771,N/A,3251.89,63.15,2547.86,224.38,28.85,Klauder,8.68,16920.096606535226,v3,Survey_C,1499,2795,48.57
LINE-1,72,4892.44,-551.62,31.11,0.9166,6829931.94,4048.06,53.57,8192.32,158.85,3.25,Ormsby,-7.28,12.51,v2,Survey_A,1268,2110,22.18
LINE-1,73,2594.28,-425.78,58.7,0.2659,,2897.24,84.67,5878.15,4950.279608357735,7.81,,9.06,9.0,v2,Survey_C,1459,2569,30.16
LINE-1,74,3818.46,NULL,26.52,-0.5709,5413752.76,1852.94,80.22,9999.49,64.28,23.88,Klauder,9.8,3.66,v2,Survey_C,1428,2000,24.48
LINE-1,75,NULL,-31479.98536168019,28.61,,NULL,3497.02,33.63,2287.05,314.65,1.11,Klauder,8.72,15.59,v3,Survey_C,1304,2010,18.7
LINE-1,76,1050.6,-936.38,57.44,0.3145,10732688.72,4330.5,19.29,3172.66,ERROR,1.11,Ricker,-0.86,5561.447096564196,v3,Survey_A,1490,2010,27.23
LINE-1,77,,-204.31,22.79,-0.342,ERROR,3040.98,97.2,9502.92,201.07,NULL,Ormsby,2.0,XYZ,v2,Survey_A,1590,ERROR,16.01
LINE-1,78,3177.29,-992.38,53.49,,12104400.58,3086.24,82.12,5257.5,,19.35,Ormsby,-8.66,-12.19,v1,Survey_B,1382,2985,20.23
LINE-1,79,1887.83,600.42,48.83,-0.9856,NULL,3999.64,N/A,8780.71,25.21,1.98,Ricker,1392.8313537153454,12.5,v2,Survey_C,1248,2798,29.39
LINE-1,XYZ,3816.97,,49.58,-0.6084,22470592.0,2651.82,XYZ,6958.45,187.53,11.57,Klauder,0.9,8.0,v2,Survey_B,1593955.6806383615,2825,30.32
LINE-1,81,,547.62,14656.285305841791,-801.0338097822666,17100516.92,4093.39,60.92,9452.88,201.9,23.12,Ormsby,5.66,10186.755334832376,v2,Survey_B,1595,2998,41.67
,82,4817.07,-129.02,12.64,-0.047,19037217.97,2714.9,N/A,231.22,,7.8,Ricker,9.51,-8.53,v1,Survey_C,1718,2328,
LINE-1,83,2747.63,331.53,16.65,165.55316855860104,652647282.513081,1591924.8694930747,27.06,135.48,15911.034854109777,29.87,Ormsby,0.96,8.15,v3,Survey_B,,1035487.3886163573,41.76
LINE-1,84,3464.64,342.15,N/A,-0.2942,23450894.89,3881928.1077824095,22.8,XYZ,153.71,,Ormsby,NULL,-1.83,v1,Survey_C,1178,2161,45.01
LINE-1,85,3106.74,-310.14,30.29,0.6223,24128732.72,4535.93,16.94,8551.8,350.66,11.53,Klauder,ERROR,11.58,v2,Survey_B,1141,2418,14.19
LINE-1,86,1578.78,-768.85,12.25,-0.0001,16008231196.996136,4802.51,87.0,595.23,117.56,0.8,Ricker,6.35,-12.61,v3,Survey_A,741471.7622063303,2109,10194.314715892131
LINE-1,87,2065.86,-262.29,53.26,0.9847,N/A,4493.31,94.09,5823.95,,0.3,Ricker,0.18,-9.32,v3,Survey_A,1129,2133,34.06
LINE-1,XYZ,3003.25,-648.8,55.58,-0.4188,8002693.47,3332.29,87.9,9084.24,51.86,19.98,Ricker,4.86,-9.38,v1,Survey_B,1371,2663,30.76
LINE-1,89,3499.83,-589.0,41.02,-0.2424,14532794.97,3723.78,80.78,9567.51,205.28,27.58,Ricker,0.79,NULL,v2,Survey_B,1551,2333,19.87
LINE-1,90,2164.75,485.31,23.76,-0.7078,11681711.55,2778.61,87.56,3290.19,,14.59,Klauder,2.93,9.68,v3,,1385,2334,41.93
,91,3656.63,65.74,31.78,-0.7006,20409058.58,2520.8,87.2,2461.85,211.84,14.48,Klauder,5.16,-18.98,v3,Survey_A,1505,2318,46.26
LINE-1,92,2873.99,-985.26,,0.3994,24051902.89,4681.43,50.2,2167.71,132.97,4.73,Ormsby,-5.0,,v2,Survey_B,1353,2569,
LINE-1,93,4964.1,321.71,40.65,0.7401,18436580.88,4818.93,29.18,XYZ,276.53,29.97,Ricker,-3.21,-15.18,,Survey_A,1457,,
LINE-1,57336.34808134796,3721.19,-869.94,31401.9884082658,0.7898,,3445.81,ERROR,4473.93,160.86,23.8,Ormsby,,,v2,,1191,,15.41
LINE-1,95,1578.46,505.33,24.06,0.0832,7773099.99,1787950.539315089,80.99,7138.92,347.22,9.33,Klauder,-4.72,1124.5135732414583,v2,Survey_B,1741,2918,
LINE-1,96,3118.67,-33.51,52.61,-0.7385,5058685.55,2676.09,71.73,1314.21,281.95,21.57,Ormsby,-7.34,-1.96,v1,Survey_A,1152,2131,43.75
LINE-1,97,4520.06,500.17,40.81,-0.9142,,,71.58,4725.14,127.63,18.72,Ricker,4.7,19.41,v2,Survey_C,,2627,19.45
LINE-1,98,1245.43,-439.18,,0.7909,18704980.02,XYZ,N/A,7345.04,214.57,4.42,Ormsby,-2.94,19.96,v3,Survey_A,1706,2442,44.3
LINE-1,99,3465.88,-592.49,41.14,0.787,7301839.45,NULL,27.2,8285.95,115.36,22.28,Ricker,-8.49,3.35,v3,Survey_A,1078,2280,48.08
LINE-1,100,3283.89,-656.37,58.91,0.4959,7902027.15,2440.7,59.66,4205.68,106.56,20.96,Ormsby,3.94,-8.82,v3,Survey_C,1680,2023,45.48
LINE-1,101,3621.76,252.81,,-0.2104,,2223.65,21.85,1724.12,290.76,15761.559464393285,Klauder,4.16,-15.65,v1,Survey_A,1979,2013,44.72
LINE-1,102,3618.1,-756.68,,-0.5321,23306303.74,3178.52,ERROR,5740.59,271.29,N/A,Klauder,0.35,-2.57,v3,Survey_B,,2256,19.83
LINE-1,103,1702.87,-635.52,25.64,83.07321481768084,12477595.75,1669.97,74.1,ERROR,203.2,2.6,Klauder,7.27,15.3,,Survey_B,1221,609901.1223460402,38.32
LINE-1,104,2698.54,737.62,21.72,-0.1793,23625914.5,4212.51,XYZ,4895.52,53.57,4.78,Ricker,5.89,-16.86,v1,Survey_B,1333,2072,36.49
LINE-1,105,2642.31,889.3,,0.3642,15044522.31,3236.18,94.3,4803536.429448567,337.5,8.84,Ricker,-3.51,-12.9,v1,Survey_A,1291,2224,ERROR
LINE-1,106,1672.91,952.43,25.93,-0.131,15455057.61,573107.1989429434,29477.186524880763,9727.49,56.03,5.95,Klauder,-4.64,13.91,v3,Survey_B,1907,2173,27.58
LINE-1,107,3414.57,238.71,46.34,0.1378,20681096.28,2056.35,53.79,3621.12,239.11,ERROR,Klauder,2.11,4.95,v1,Survey_B,1277,2397,24.39
LINE-1,108,2845.58,376.56,,4.770474839718765,7603311.27,2676.31,16.43,2463.53,59.75,6.51,Ricker,NULL,1.68,v3,Survey_A,NULL,2798,34.33
LINE-1,109,1425.74,-156.63,20.04,-0.5098,12043401.81,129058.31502891962,44.75,5981.19,267.4,29.86,Ormsby,-5.43,2699.737770539849,v3,Survey_B,1015,2811,41.72
,110,2983.89,-702.6,3298.608330747404,0.8003,XYZ,2091.17,62.76,1063.66,XYZ,8.59,Ricker,-3.39,XYZ,v2,Survey_B,1876,2384,600.5567712570783
LINE-1,111,3514.77,407.29,38.44,-0.3712,2761796848.217707,3215.48,44.42,4210.46,113.79,NULL,Ricker,-8.13,4.2,v3,,1431,2872,
LINE-1,112,2489.83,194.29,45.25,0.2741,5618114.33,4293.39,NULL,ERROR,,5.41,Klauder,-6.02,-17.39,,,1818,2778,38.78
LINE-1,113,1929.22,,NULL,-0.0039,14698061.46,1537261.3244192414,18.14,8132.59,52.47,3.59,Ricker,-4.91,11.86,v1,Survey_C,1350,2504,22.33
,114,3932.4,-372.43,23.94,0.6639,14800292.51,3789.96,70.27,9720.72,15390.079631611914,28.03,Ricker,8.46,,v3,Survey_C,ERROR,2680,
LINE-1,115,1551.36,,49.37,0.4292,22000380.74,2904.56,39.91,5044.07,235.38,15.96,Ormsby,7.1,-1.39,v3,Survey_C,1083,2694,27.07
LINE-1,116,3493.15,-453.73,31.05,-0.5661,11026387.09,3891.03,9686.190787374147,2158.9,211.66,18.13,Klauder,-5.28,15.73,v2,Survey_B,1896,2895,10.92
LINE-1,117,2161.91,927.98,51.85,-0.4528,11814624.67,2352.15,83.62,NULL,108.01,9.93,Klauder,-1.93,ERROR,v1,Survey_B,1961,2135,20204.610230328806
LINE-1,118,3051.4,-644.4,7659.6817680934855,0.3517,,1543.47,65.88,6526.09,NULL,20.3,Ormsby,-9.26,,v2,,1204618.2286420076,2327,28.25
LINE-1,119,2374.72,-809.41,26.28,-0.1351,22711758.31,4942.15,25.37,9971.72,69384.25014432322,4.32,,-0.7,1.1,v2,Survey_A,1666,2931,32.32
LINE-1,120,,-264.53,22.12,-0.3002,13966930.48,1983.9,78.5,1676.09,62.47,25.53,Klauder,9.88,-12.91,v2,Survey_C,NULL,2385,
LINE-1,121,3180.99,-146.92,NULL,0.1028,8244213.22,3084.09,30.7,2999.87,296.3,23.62,Ricker,7.11,-14.16,v2,Survey_A,1924,2410,31.11
LINE-1,122,4738.78,-295.26,NULL,-0.478,9856188.61,ERROR,87.46,3298.2,216.17,29.33,Klauder,5.85,19.82,v1,Survey_C,1173,2738,46.56
LINE-1,123,3585.48,692.48,24.63,-0.0669,8018373200.296169,1736.97,XYZ,2334.97,190.7,0.92,Klauder,8.5,-0.87,v2,Survey_A,1029,2487,20.54
LINE-1,124,2616.22,-14.48,47.93,-0.4751,,3087.99,71.84,4989.64,177867.19103891955,2.7,Ormsby,9.22,XYZ,v1,Survey_B,1980,2663,32.59
LINE-1,125,1174.85,106.0,23.48,N/A,N/A,3401.89,38.03,5284.22,240.36,2.28,Ricker,-6.25,-5.49,v3,Survey_A,1467,2845,32.47
LINE-1,126,1354.99,-279.3,58.51,-0.7449,,1598.7,16.85,5531.85,109.99,30.0,Ricker,-0.99,16.63,v2,Survey_C,1553,2447,48.45
,127,114120.55853546663,994.13,48.56,-0.8195,NULL,1691.25,21.35,8767.82,98.41,2.2,Ormsby,-7.02,3.53,v2,Survey_A,1798,2457,35.4
LINE-1,128,3555.65,468.95,16.38,-0.0833,21122496.64,2648.9,82.33,5960.28,16.61,25.11,Klauder,5.82,-2.55,v2,Survey_A,1622,2149,37.54
LINE-1,129,4303.73,15.82,30.83,-0.8414,22222263.94,,68.86,2139.26,271.01,7.44,Ricker,4.75,13.78,v3,Survey_C,1351,2947,38.55
LINE-1,NULL,4852.74,2.21,32.8,0.4419,14710036.81,4759.38,,3658.43,194.61,25.47,Klauder,-2.4,,v1,Survey_C,1593,2400,38.02
LINE-1,131,ERROR,-987.05,25.57,0.2643,13448658.92,2064.43,43.62,691.59,240.99,29.89,Klauder,-9.92,-0.56,v1,Survey_A,1541,2189273.981853167,XYZ
LINE-1,132,2420.21,-213356.21584916103,10664.474312863364,0.8544,10210292.96,2056.03,26.75,9352.31,,1724.549085923316,Ormsby,-6.94,13.0,v2,Survey_B,1660,2708,20.38
LINE-1,133,1358.49,-928.73,33.73,,16538921.57,4061.49,,6476.45,96.49,17.43,Ricker,2.46,NULL,,Survey_B,1244,2720,22411.72277452369
LINE-1,134,2360684.1632986106,,47.3,-0.0542,14062694.16,2976.42,79.62,8331.81,81.71,20.41,Klauder,-5.73,-2.0,v3,Survey_A,1247,2153,16.97
LINE-1,135,2665.09,55.53,32.13,0.2478,9227336.42,1993.31,28.49,6512.85,204.44,21.7,Klauder,-7.54,7.18,v3,,N/A,2072,11.72
LINE-1,136,696623.5848328514,,55.77,,9156823.07,1585.95,64.93,NULL,195.3,26.83,Ormsby,,1.17,v2,Survey_B,1494,,13.23
LINE-1,137,4270.54,132.75,57.3,40.91895577897327,21238066671.751106,3036.97,22.1,7181.68,85.36,26.18,Klauder,-6.89,-14.31,v2,Survey_B,1602,2060,19.88
LINE-1,138,3251.34,520.58,25.03,NULL,13788532.34,2079192.7101605902,41418.708937538315,123.23,213.01,14.91,Ricker,6.55,7.42,v1,Survey_C,1803,2207,ERROR
LINE-1,139,1795.0,-408.54,51.05,-0.4338,8848021.9,3016.55,41.69,9859.86,144.13,6.44,Ormsby,-8.24,0.17,v3,Survey_B,1760,2225,34.28
LINE-1,,1779.0,987.61,,0.056,17132764.55,4540.96,43.94,NULL,327.06,22.77,Klauder,-3.38,-2.76,v3,Survey_B,1015,2062,34.83
LINE-1,141,4731.09,217.12,54.53,-0.735,22927744.35,4431.95,39.66,8249.17,68991.55712910448,18.33,Ormsby,2.74,-4.88,v2,Survey_A,1719,2788,33.23
LINE-1,142,4603.91,217.43,29.19,-0.7866,,3396.85,41.31,,,24.9,Ormsby,0.89,10.48,v2,Survey_A,1785,2430,29.64
LINE-1,143,4854.28,,26.11,-0.6921,,2409.51,26.03,9018.77,76.82,23.77,Ricker,1.71,-0.41,v3,Survey_B,1803,2998,46.57
LINE-1,144,1322.27,-151.61,31.8,-0.6709,17358893.93,2605228.5379773565,21.24,2692.16,,1.56,Ricker,0.07,-14.59,v2,Survey_A,1606,2468,29.7
LINE-1,145,3608.43,542.47,34.09,0.3354,11706784.27,2614.61,48.4,7662.8,128.18,1.22,Ormsby,3.55,1.14,v3,Survey_C,1255,2523,22.08
LINE-1,146,2367.83,-378.09,31.67,0.0486,12625037643.18894,4633.78,27870.22722719917,5191.48,234.19,11.15,Ormsby,-5.92,10.95,v1,Survey_A,1301,2627,39.55
LINE-1,147,1223.27,581.45,34.13,,20578119.03,4400.14,58.24,3238.62,319.4,24.83,Klauder,-8.71,-3.16,v2,Survey_C,1885,2362,16.97
LINE-1,148,3387.86,-784.57,29.86,0.2926,12971453.95,511480.48035088996,49.49,3392.03,133.84,5.97,Ricker,0.71,-1.74,v1,Survey_A,N/A,,38.63
,149,3372.53,-377.66,15.73,-89.6769952801905,7850773.34,3362.24,94.32,8105.02,295.04,27.59,Ormsby,-1.28,-6.49,v3,Survey_B,1625,2319,23.18
LINE-1,150,3825.53,983.83,28.52,0.4666,6819957.27,2778.6,57.19,6087.62,289.2,,Ormsby,1.28,19.24,v3,Survey_B,1688,2081,
LINE-1,151,3885.43,102.87,NULL,0.7768,,4669.64,70.04,8013.06,,19.71,Klauder,-2.92,-4056.3794262606343,v2,Survey_A,1585,2288,ERROR
LINE-1,151243.56152629305,XYZ,-367.69,37.06,,1871794185.0279493,3240.64,59.12,2519.82,24.72,13.12,Klauder,10.0,5.31,v3,Survey_A,1534,2957,26.15
LINE-1,153,2543.04,973.84,48.53,0.1028,,NULL,92.24,9012.57,164.58,9.85,Ricker,4.95,3.2,v2,Survey_B,XYZ,,43.56
,154,3747.72,894.49,26688.62313978714,ERROR,10874263.77,2798.67,97.61,847.28,,,Klauder,5.38,-9.26,v1,Survey_A,1224,2311,10.66
LINE-1,155,,-394.8,26.27,-0.9152,23348718.66,3006.09,27.75,,43.49,4.97,Ormsby,-2.15,-16.42,v3,Survey_C,1074,2502,20.69
LINE-1,,3137.05,232.77,12.63,0.398,XYZ,2177.15,,1674.74,316.53,7.59,Ricker,3.99,,v1,,1461,2069,38.99
