well_id,measured_depth_m,gamma_ray_api,resistivity_ohm_m,sonic_dt_us_ft,density_g_cc,neutron_porosity,caliper_in,photoelectric_factor,shale_volume,clay_content,water_saturation,hydrocarbon_saturation,permeability_md,velocity_m_s,acoustic_impedance,formation_factor,bulk_modulus_GPa,shear_modulus_GPa,poisson_ratio
WELL-1000,85.43,38.23,164.75,102.36,2.581,,14.63,2.0,0.177,NULL,0.84,0.53,N/A,2632.58,12430788.17,4.79,42.05,14.25,0.248
WELL-1000,90.13,41.63,96.39,3673.372273777697,2.695,0.287,11.96,3.86,0.584,0.182,0.528,65.2824096719668,186.31,4667.26,9266983.32,1.97,20.96,,0.179
WELL-1000,93.84,142.39,2.1,73.6,2.507,0.343,15.15,4.87,0.452,0.224,0.502,0.527,472.71,3514.38,22831677.96,1.49,41.85,17.13,0.285
WELL-1000,,23.92,78.93,116.67,2.603,0.267,13.81,1.9,0.698,0.32,,0.478,314.84,4704.95,11462737.39,3.16,,29.7,0.201
WELL-1000,XYZ,73.19,,67.71,2.515,0.284,,2.49,0.128,0.394,0.986,0.561,XYZ,2971.4,17250369.82,2.18,ERROR,26.0,0.289
WELL-1000,51691.70073050002,96.12,66.56,,2.106,NULL,12.89,1.45,0.194,0.261,0.74,301.90864881497066,,4345.92,16477025.41,3.72,12.77,25.07,0.142
WELL-1000,117.2,94.35,184.92,54.0,1.924,0.091,,1.11,0.775,0.446,0.845,0.415,16.93,3685195.657609328,,,43.79,,
WELL-1000,122.24,21.11,82.63,101.42,2.401,0.119,13.03,1268.1504981313374,,0.204,0.627,0.769,129.79,3875.37,23621010.64,4.67,,13.78,0.388
WELL-1000,126.46,61.8,12029.3789926219,100.14,2.058,0.237,12.9,3.6,,0.451,0.822,0.312,299.01,4076.01,15880766.17,3.14,644.9805724025929,9418.272178373647,0.209
WELL-1000,130.36,49.42,2.79,93.9,2.201,0.34,8.67,3.52,0.137,0.259,0.742,0.397,531.85,4080.03,21150010.01,3.68,18.1,14.36,0.292
WELL-1000,138.16,XYZ,5.76,56.46,XYZ,0.12,10.92,1135.9102059454817,ERROR,0.198,0.581,0.319,466.31,2211.94,15511654.6,3.41,25.83,,0.284
WELL-1000,144.96,97.36,98.08,86.65,1.927,0.205,13.83,4.76,0.23,0.203,0.907,0.266,N/A,2948.9,14888235.76,4.03,18.74,28.31,0.155
WELL-1000,151.84,29.35,163.46,119.48,2.42,0.333,9.25,3.48,0.282,0.327,0.492,0.707,14.22,2067.81,15257578.84,3.33,33.89,22.17,0.139
WELL-1000,152.7,75.41,116.16,100.92,2.282,XYZ,11.54,2.38,0.445,NULL,0.473,0.656,13.63,2122.26,21022183.3,4.66,44.61,23.1,0.331
WELL-1000,159.01,65.2,14.78,83.49,1.91,0.263,9.37,2.01,0.68,0.315,0.204,0.38,448.83,4256.17,11520984.81,1.58,24.8,19.68,0.361
WELL-1000,162.89,46.77,43354.95714827021,75.14,2.234,0.347,11.02,2.82,NULL,0.143,0.736,0.299,132.42,3876.95,15263275.11,3.31,15.27,5.74,0.368
WELL-1000,171.73,XYZ,20.0,ERROR,1.941,0.225,9.24,1744.1803983918765,0.388,0.265,0.313,0.262,109.46,,11187741.48,3.94,47.22,16.36,0.348
WELL-1000,174.21,72.58,,77.16,2.667,XYZ,9.3,1.02,0.558,0.262,,0.461,389.36,,18481211.1,4.72,19.57,23.83,0.377
WELL-1000,181.09,26558.815535383324,147.0,112.3,2.11,0.056,8.91,2.38,0.123,0.37,246.34183982789065,,565.91,3038.79,2464927955.9084916,,49.09,22.73,0.369
WELL-1000,189.44,50.54,15.01,87.26,2.347,0.152,10.17,1.05,0.114,0.304,0.319,N/A,545.96,2158.75,15076924.22,1.31,44.34,27.09,0.242
WELL-1000,190.87,N/A,31.49,67.6,2.659,0.206,15.91,2.02,0.613,0.348,0.269,0.298,719.47,4657.34,9050499.73,1.38,42.76,15.39,N/A
WELL-1000,198.25,85.26,179.22,108.14,2.235,0.133,10.5,2.77,0.216,0.42,0.592,333.7887242550162,571.92,4547.0,17585958.2,,49.24,18.91,0.322
WELL-1000,201.29,28.96,N/A,XYZ,2.178,N/A,13.39,4.99,0.216,0.124,0.35,0.782,604.48,XYZ,14111501.4,,31.89,25.31,88.85174873436503
WELL-1000,211.55,68.78,173.39,75.21,2.148,0.196,11.09,2.08,0.402,0.159,ERROR,0.543,143.39,1746546.4323735295,15414284.35,4.99,23.84,,0.315
WELL-1000,216.61,123.25,118.89,,1.945,0.093,11.47,3.19,0.647,0.429,0.841,289.40285597127576,697.66,2727.4,23805884.17,4.2,11.21,NULL,0.338
WELL-1000,222.37,ERROR,125.04,69210.32557865955,2.411,0.059,15.12,2.6,0.226,0.432,0.926,0.596,XYZ,3934.93,24019347.84,2.29,40.56,18.76,0.358
WELL-1000,226.92,25.35,182.12,65.27,2.137,0.247,10.54,3.05,0.668,0.433,0.203,0.221,370.59,2713.75,5893166.66,1.98,25.12,16.69,0.121
WELL-1000,119256.37467252366,73.76,16.82,51.02,2.206,0.287,15.05,ERROR,0.216,0.14,0.664,0.618,270.75,XYZ,14587481.02,1.81,NULL,6768.418235473101,0.194
WELL-1000,234.93,52.37,30.58,89.96,2.112,0.052,13.39,1.74,0.613,0.13,0.205,0.377,926.7,4894.92,20284250.02,3.53,34.54,,0.28
WELL-1000,242.72,XYZ,179.93,53.93,1.941,0.09,10.73,569.3089393592506,0.423,0.233,0.247,N/A,673.2,4078.86,6805044.08,NULL,17.58,28.05,0.344
WELL-1000,,25.78,79.49,49300.67313243155,2.514,0.309,N/A,2.35,0.154,0.356,,0.586,860.78,2568.03,24317808.15,4.91,38.99,15.3,0.277
WELL-1000,N/A,48.21,,64.48,2.257,0.293,15.89,,0.618,0.113,NULL,0.717,875.06,2708.25,9435278.74,2.55,13.8,6.43,0.194
WELL-1000,255.5,116.36,,110.76,2.344,0.136,11.52,,0.642,0.488,NULL,0.628,347.79,2571.97,6032181.21,2.04,,17.2,0.334
WELL-1000,265.29,80.94,88.97,108.9,2.648,0.343,10.94,2.15,0.407,0.385,0.895,0.777,932.56,2233.16,,1.95,40.06,18.18,0.373
WELL-1000,267.58,91.11,55.19,81.87,2.016,0.136,10.47,3.85,0.679,0.362,0.542,0.611,342.39,3647.31,12969545.11,ERROR,26.82,6.12,0.394
WELL-1000,273.33,110.98,NULL,104.24,2.291,0.342,9.55,3294.2248591763255,0.393,0.224,0.311,0.443,260.79,3188.9,24851816.06,3.56,40.32,17.25,0.103
WELL-1000,280.18,145.01,84.88,72.26,2.571,0.084,14.26,2.84,0.325,0.454,0.526,0.634,XYZ,4162.01,10107372.97,4.94,37.77,6.54,0.213
WELL-1000,285.03,94.96,98.55,72.08,2.519,0.298,9.32,1.06,0.499,0.372,ERROR,,882.87,XYZ,24221844.32,4.22,13.47,6.56,0.112
WELL-1000,291.03,132.26,17.18,66.15,,0.324,9.56,3.85,0.518,0.261,0.477,0.518,676.04,,23273879.89,1.87,29.02,,
WELL-1000,296.4,5262.372265069337,115.68,75.71,2.415,0.107,14.0,1.75,0.435,0.47,0.807,0.297,906.17,2329.4,8365376.26,3.1,38.73,7.11,0.382
WELL-1000,,75.02,78.09,53.5,2.617,0.291,14.13,4.52,0.214,0.346,0.651,0.711,574.32,4241.73,18529136.78,ERROR,35.0,15.78,0.372
WELL-1000,307.34,39.49,43.69,70.53,1.986,0.162,14.72,3.69,0.687,0.353,0.999,0.515,497.02,3650.45,15346766.16,2.0,46.98,NULL,0.111
WELL-1000,313.64,138.41,105.36,58.29,1.945,0.097,9.77,1.97,0.331,0.468,0.545,0.515,996.1,3458.44,9055169.36,3.07,NULL,15.62,0.267
WELL-1000,317.08,144.48,8.14,79.68,2.291,0.135,11369.056428673317,2.77,0.567,ERROR,N/A,0.206,393.52,3417.69,12642141.27,2.11,,15.27,0.226
WELL-1000,212006.07333035313,82.39,157.71,106.14,1.914,0.203,11.54,2.97,0.42,0.427,XYZ,0.364,336.76,2648.4,23244918.31,2.58,29.16,17.91,0.301
WELL-1000,207666.29930670132,148.39,18.67,64.18,1.927,0.225,9.68,1.42,0.683,27.44740628343931,63.17744543045708,ERROR,726.62,2106.24,22552124.09,4.92,41.29,10.46,0.168
WELL-1000,335.88,109.24,156.81,50.11,1018.7216555344208,0.306,XYZ,NULL,N/A,0.295,0.412,0.581,145.4,3063.11,10140975239.484634,3.3,17.05,22.0,0.142
WELL-1000,336.67,90.83,42.0,,,0.069,12.16,3.16,0.385,0.217,,0.508,603.44,2442.9,,3.93,19284.29408280928,XYZ,0.255
WELL-1000,344.5,72.41,124.36,100.18,1.948,0.148,9.43,2.28,0.674,0.43,0.625,N/A,420.44,4442.05,NULL,3.93,13.85,12.29,0.216
WELL-1000,,132.37,6.19,56.7,2.193,0.121,14.51,1.49,,0.15,0.579,0.429,,2391.67,11978939.5,3.62,20.94,10.96,0.204
WELL-1000,355.73,125.91,8.43,113.09,2.621,0.124,14.98,2.71,0.763,0.365,0.682,,676.81,3522.69,22549434.61,4.41,41.95,7.63,0.346
WELL-1000,360.1,,77497.44041337848,85.72,305.35744003768366,0.329,11.26,4.71,,0.185,N/A,0.261,448.27,,12993959.63,3.89,26.08,20.78,0.232
WELL-1000,366.91,63.67,137.31,89.54,2.55,0.275,10.46,3.49,0.422,0.456,0.867,0.24,290.0,,14741148.74,2.7,31.93,8.38,0.328
WELL-1000,164419.81493784575,61.06,21.96,101.91,2.552,0.077,4759.315210171149,2737.723485956907,0.386,0.195,N/A,0.574,633.94,4177.07,16091792.5,3.7,49.99,25.62,0.175
WELL-1000,375.69,ERROR,137.47,,1.914,0.223,11.32,1.32,N/A,0.361,0.592,0.556,969.7,2288.11,6242729.11,ERROR,16612.68280415241,12.68,0.165
WELL-1000,380.95,21.95,173.98,63.02,2.095,0.324,8925.41749617516,3.73,98.18368176817067,0.398,0.553,397.48620375581436,66.21,4402.71,8941447.01,4.38,34.26,23.54,0.238
WELL-1000,,90.21,147.7,8764.963960178029,2.626,0.151,15.89,2.23,0.277,0.37,0.615,0.266,264.32,4019.55,23872075.26,1.73,23.96,23627.825298849424,0.281
WELL-1000,393.64,117.56,183.88,NULL,2.338,0.306,14.23,2.63,0.26,0.399,0.66,0.243,439.03,2735.83,6429462.0,2.86,46.01,13.79,331.9697809616752
WELL-1000,400.83,34.81,2.21,67.15,2.121,0.252,9.07,3.45,0.652,0.452,0.453,0.469,963.19,2710.95,5226314.6,2.53,49.73,25.21,0.162
WELL-1000,24533.433621792767,92.6,158.54,64.23,NULL,0.175,11.45,2.84,0.637,0.322,0.242,0.579,,,7666392.84,4.11,10.05,7.94,0.267
WELL-1000,407.49,52.58,87.29,37229.62897479695,2.192,0.153,14.73,2.99,0.566,0.218,0.591,0.588,N/A,2341.89,7007765.34,2.67,20.18,7.56,0.192
WELL-1000,414.49,40.6,,85.26,2.052,0.337,9.57,3.61,0.652,0.491,0.94,0.716,NULL,2339.87,20085198.47,2086.0427788839374,47.83,6.09,0.196
WELL-1000,418.41,37.01,77.03,108.41,,0.321,13.26,2.34,ERROR,0.149,0.515,6.388976631299332,,4047.8,22727532.23,2.65,25.28,19.44,0.285
WELL-1000,425.02,135.99,25.2,112.45,2.073,0.33,11.41,N/A,0.505,0.483,0.738,0.691,392.91,3397.33,886237556.0550942,3.49,30.94,7.18,
WELL-1000,429.74,140.98,33810.66880187462,52.77,1.902,0.225,11.87,4.33,,0.101,0.399,0.671,40732.28823045477,4091.08,6477256.81,2.0,40.5,17.25,0.325
WELL-1000,436.36,133.11,39126.85378034502,95.42,2.066,,12.15,1.46,0.564,0.422,0.308,0.279,729.08,4231.54,14156899.09,,29.25,12.27,0.113
WELL-1000,443.83,N/A,33.23,118.82,1531.761185809945,0.284,10.54,4.28,,0.488,0.441,0.431,453.65,3888.06,14411856.59,4.46,11.02,,0.157
WELL-1000,446.51,58.91,121.57,63.84,259.7191305021673,0.122,13.98,3.25,0.62,0.403,0.62,0.662,758.74,4220.27,24964762.15,3.01,ERROR,21.09,0.224
WELL-1000,454.13,44.62,132.3,59.44,2.267,0.213,9.38,1.19,0.388,0.167,0.613,NULL,964.76,4195.13,17836073.78,2.38,30.02,,0.399
WELL-1000,460.78,51.33,,107.75,2.042,0.134,,2.8,,,0.458,0.668,624.81,4807.34,10737980.96,4.92,43.05,6.15,0.175
WELL-1000,465.23,93.01,9.92,105.31,2.247,0.164,12.71,3.27,0.449,0.405,0.931,0.34,786.23,2101.68,5129004.89,4.36,32.54,,0.334
WELL-1000,,50.63,146.41,81.32,2.523,0.157,ERROR,4.71,557.2237037476735,0.107,0.543,0.431,563.19,2838.26,4687206994.388387,4.63,28.36,11.71,32.11129860044887
WELL-1000,473.92,120.74,155.24,51.85,2.371,87.55229924624855,13.92,3.77,0.576,0.443,0.207,NULL,109.76,N/A,14909798.3,4.13,44.42,26.91,146.4218086871211
WELL-1000,481.31,147.21,115.8,78.05,1.939,0.053,12.96,3.12,0.221,0.483,0.276,0.618,331.75,4869.38,7143583.65,3.5,15.41,5.05,0.147
WELL-1000,145457.98274531474,149.55,160.0,87.73,1.931,0.183,10.44,4.61,0.31,0.431,0.656,0.591,544.44,2638.96,10924739438.827847,3.59,12.51,15.71,0.171
WELL-1000,ERROR,51.59,186.12,67.61,2.652,0.273,14.23,4.84,0.67,0.302,N/A,0.215,577.76,2246.56,13914721.57,4.93,48.52,10.65,0.165
WELL-1000,495.59,136.16,138.98,63.05,2.099,0.327,11.51,2.38,ERROR,0.373,0.944,0.653,75.29,4054.88,10377062.7,NULL,26.26,12.99,0.3
WELL-1000,502.1,117.33,24.95,89.78,,0.068,NULL,3.12,0.576,0.251,0.666,,751.89,3385.34,22547426.17,4.2,25.09,12.09,0.287
WELL-1000,505.44,93.66,173.66,62.91,2.332,0.162,12.65,1.76,0.624,0.398,,0.415,949.26,4750.65,5994703.67,1.47,47.37,26.02,0.155
WELL-1000,515.2,116.62,195.06,55.61,2.519,0.268,12.56,3.99,67.22553806195923,0.219,0.291,0.696,61.93,,14450334.79,XYZ,33.73,21.0,0.344
WELL-1000,518.61,,111.13,NULL,2.305,0.095,,2.83,0.186,0.425,0.667,0.414,631694.2139340925,4980.01,10107488.35,2.9,28.09,,0.146
WELL-1000,524.0,35.98,172.47,114.77,2.394,0.075,11.12,1.48,0.512,,XYZ,0.232,860.07,3681.61,13467499.57,4.31,23.63,8.71,
WELL-1000,528.16,38.33,146.27,86.0,1.981,0.196,12.55,2.53,0.199,0.467,0.531,0.497,765.77,2895789.084326978,14198341.94,NULL,15.38,23.8,0.121
WELL-1000,532.13,110.42,24.3,58.62,1.97,0.086,11.59,4.21,0.424,0.177,,0.41,87.43,3781.64,22253382.21,4.62,22.42,24.55,0.277
WELL-1000,541.35,27.42,74.2,82.76,2.34,0.316,12.44,3.42,0.183,0.397,0.406,0.556,818.91,3302.72,17164354.22,2.63,29.42,14.51,XYZ
WELL-1000,546.88,27.75,34.81,N/A,2.616,0.203,8.7,4.7,0.345,0.321,0.925,0.698,521.15,4602.6,,,36.76,7.56,XYZ
WELL-1000,548.82,,155.24,93.2,N/A,0.069,15.1,1.81,0.54,0.403,0.948,0.521,880.21,,10306602.42,3.34,39.83,2802.673321141893,0.36
WELL-1000,556.66,38.49,ERROR,70.21,1.953,0.126,9.64,2.91,0.592,0.198,0.903,0.729,164.12,2118.13,19129644.57,4.75,13.43,307.87203892300573,ERROR
WELL-1000,563.43,111.59,62.5,47872.781531098364,2.185,0.169,9.23,1.78,ERROR,0.164,N/A,0.761,600.43,3879.31,8260657.32,1836.8298419522641,,13.38,0.277
WELL-1000,567.6,42.69,155.38,63.4,2.693,0.313,ERROR,1.05,0.612,152.66205609627823,227.73625546062107,0.206,459.68,4226.09,9523934.25,,11.5,24.6,0.325
WELL-1000,572.22,55.91,146.16,50.96,2.555,0.188,9.58,2.47,0.453,0.485,0.793,0.762,785.14,4466.23,11176291.67,ERROR,39.78,,48.82280267855395
WELL-1000,579.58,118.27,,64.06,1.982,0.169,9.02,2.51,0.388,0.137,0.265,0.54,984.81,4089.68,14364660.08,2.81,31.9,27.41,0.278
WELL-1000,583.36,123.76,182.58,ERROR,2.599,0.078,13.45,4.81,0.336,0.279,0.466,0.654,420.36,3835.55,21983974.97,1.62,37.08,18.83,XYZ
WELL-1000,588.05,105.01,18986.837913625932,66.93,2.135,0.305,12.33,ERROR,,0.161,0.503,0.312,477712.12231669965,2924.6,18757688.81,2.82,23.15,7.73,0.398
WELL-1000,594.94,97.5,173.12,50.78,2.455,0.075,10.66,N/A,0.664,0.321,0.856,0.742,828.89,2075.48,NULL,2.99,39.18,26.79,0.337
WELL-1000,596.75,121.51,82.97,90.36,1.939,0.206,14.16,3.04,0.247,0.49,0.963,0.318,886.6,3353502.5945369676,12791115.06,4.44,34.06,17.27,
WELL-1000,603.36,129.31,19.92,53.43,1.903,0.35,8.74,1.1,0.444,0.211,0.331,NULL,846.88,,22295767.49,1.92,21.07,23.02,0.298
WELL-1000,612.37,74.23,,65.32,ERROR,0.227,10.43,1.95,0.235,142.88671002091172,0.682,0.49,495.1,4697.73,21324111.65,1.62,49.34,7.28,0.21
WELL-1000,396152.2337360021,56.67,148.14,77.37,1.966,0.314,8.7,1.62,0.61,0.191,0.209,,326.01,4973.05,6131802.54,4.18,30.6,N/A,0.394
WELL-1000,622.63,87.31,154.88,83.89,2.416,0.286,10592.444972878093,4.06,,22.331693841337415,0.683,0.653,584.04,NULL,5757635.45,1.85,26.66,26.29,0.398
WELL-1000,380471.1630137727,147.84,189.15,,2.638,0.298,12.08,2.92,0.464,0.304,0.257,0.727,50.38,3891.71,,2.31,36.4,15.76,0.292
WELL-1000,633.07,34.14,152.73,107.97,2.249,0.233,15.7,4.32,0.615,0.472,0.9,0.393,95.92,4226.45,4414559662.811555,1.58,21.76,22.22,0.184
WELL-1000,635.42,83.68,96.64,116.26,2.664,0.213,9.87,3664.829865470715,0.588,0.437,ERROR,0.757,809.56,2251.68,,2225.127730130982,25.34,17.12,0.373
WELL-1000,643.51,107.81,113.1,56.85,2.093,0.052,9.39,3.2,0.409,0.187,,0.282,ERROR,3995.9,19951879.34,4.17,45.9,7.45,0.201
WELL-1000,646.87,63.15,192.24,54.0,588.8294411795182,0.121,14.4,1.64,0.241,0.312,0.667,0.284,18.49,2135.32,XYZ,4.96,21.95,28.66,NULL
WELL-1000,655.48,N/A,100.39,94.08,2.157,0.054,9.68,2.23,0.501,ERROR,0.326,493.0603351779737,808.74,4779.83,9329874.49,,45.83,13.59,0.211
WELL-1000,660.86,66.31,70.29,92.54,1.989,0.295,9.7,4.54,0.487,0.214,ERROR,0.533,876.72,4922.35,XYZ,,47.05,24.1,0.193
WELL-1000,,51590.65797718613,,101.65,2.196,0.11,11.21,4.11,0.504,0.159,0.395,0.731,291.52,4227.83,13356084.67,2.52,20.47,13.45,
WELL-1000,671.94,38.78,,64.53,NULL,0.277,15.95,3.78,199.52460217233536,0.128,0.506,0.609,,4424.05,19404171.86,4.06,489.9362589471836,6.41,0.229
WELL-1000,677.67,111.25,101.57,69.32,2.694,0.3,9.11,2.98,0.248,0.223,0.838,0.222,717.97,2826.03,XYZ,3.42,13.81,8010.136588624477,0.318
WELL-1000,680.5,43.27,67105.32871110723,109.99,2.397,0.144,14.99,2.18,0.459,0.188,0.345,0.42,398.2,4874.8,7045817.32,2.64,20.18,28.08,0.223
WELL-1000,688.55,89.53,10.53,69.95,1.913,0.219,11.74,3.86,ERROR,0.434,0.981,NULL,200.13,2175.11,24980930.37,1.64,28.28,11.64,0.186
WELL-1000,694.18,,66.94,98.94,NULL,0.297,12.03,3.39,0.352,NULL,0.225,0.542,102864.18891032106,3539.8,18395019.68,3.63,12.99,8.84,0.384
WELL-1000,694.5,52.57,174.3,108.82,NULL,0.081,11.04,ERROR,0.405,,0.896,0.203,401.85,3043.86,15657524.67,4.5,47.93,20.75,0.384
WELL-1000,701.4,57.01,191.4,57.92,1.991,0.162,9.26,,0.337,0.385,0.453,0.676,329.47,3981.06,15245791.53,1.85,16.26,24.12,0.122
WELL-1000,706.65,110.24,135.59,103.62,2.149,0.174,9.92,1.68,XYZ,0.162,0.906,0.659,53.78,4461.83,13954693.08,2.72,11.45,15.91,NULL
WELL-1000,712.94,81.55,61.81,103.1,2.699,0.075,15.0,3.85,0.621,0.393,0.316,0.4,676.53,3268.22,12128037.46,3.64,39.66,21.3,0.137
WELL-1000,716.78,58.87,123.52,78.08,2.659,0.072,15.91,1.59,0.405,0.259,0.557,318.6590838719871,947.97,3416.29,13414903.09,3.76,42.01,6.41,0.108
WELL-1000,723.64,106.46,137.46,20354.31765964234,2.407,0.341,8.96,3.81,0.396,0.374,0.83,0.368,469.98,799432.5496042693,22296846.01,2.08,25.45,18.16,0.276
WELL-1000,730.36,XYZ,7308.398974356689,115.15,2.324,0.238,9.92,1.09,0.68,0.472,0.282,0.567,891.02,3873.72,22816146.35,3.71,16.87,25.57,0.21
WELL-1000,737.29,121.92,1.75,87.95,2.187,0.309,8.74,2.28,0.767,0.454,0.486,0.677,264.93,4163.97,NULL,1.05,31.93,15.32,0.329
WELL-1000,742.76,95.53,XYZ,96.57,2.41,0.171,9.43,3.84,0.755,0.171,0.725,,652.3,3042.27,24296636.77,2.2,29.11,8.95,0.37
WELL-1000,745.8,2347.7257023538464,118.85,110.76,2.389,0.208,15.56,XYZ,0.655,0.368,0.676,0.411,324.88,3780.8,6013710.13,4.33,24.0,11.0,0.182
WELL-1000,753.41,69.59,2321.8856017288676,99.4,2.557,0.059,11.7,1.79,0.177,0.292,0.58,0.743,549.6,4057.01,13861654.77,2.73,19.83,XYZ,0.146
WELL-1000,XYZ,42.47,162.65,70.68,2.161,0.318,15.24,2.41,0.292,0.123,678.0708048239721,0.794,NULL,2700.76,13618889.5,1.65,,283.16583496895606,0.14
WELL-1000,762.12,52.44,114.77,35164.90728014368,2.318,0.286,12116.950559616706,3.53,0.586,0.116,0.795,0.387,XYZ,2978.85,9946313.72,1.07,48.03,16.32,0.104
WELL-1000,767.38,146.65,9901.170521928878,97.47,2.28,0.272,12.84,3.94,0.785,0.223,0.69,0.678,435.88,3644.52,16641455.13,4.38,38.89,15.95,0.128
WELL-1000,773.4,110.25,26125.235162268902,73.67,2.565,0.337,ERROR,4.37,NULL,0.331,0.737,0.567,601.46,2534.47,13552730.92,4.85,43.48,17.89,0.232
WELL-1000,780.73,NULL,190.6,71.1,2.236,0.319,8.77,2.88,0.595,0.122,0.982,0.425,387.17,3882.91,5201916.73,3.32,20961.190847736765,,0.286
WELL-1000,784.68,89.0,2.69,98.94,2.43,0.127,NULL,2.16,0.76,0.359,0.367,0.267,365.56,3286.34,7725483.55,2.29,16.78,22.48,0.21
WELL-1000,787.27,55.75,67.81,74.46,2.531,0.073,12.99,2.96,0.744,0.326,0.775,0.26,,3402.71,16893254.89,1.47,47.36,27.18,0.382
WELL-1000,794.25,24.5,10.03,71.57,N/A,0.074,11.0,2.76,0.618,0.269,0.924,0.669,13.99,126211.8551123728,18181479.95,4.51,38.24,19.87,0.153
WELL-1000,798.78,,120.71,63.15,2.012,,11.64,3.64,0.362,0.307,0.94,0.709,810.1,XYZ,19972544.81,2.15,35.21,,0.355
WELL-1000,805.86,22719.22320006047,49.17,63.82,2.655,0.316,9.56,1.44,,0.121,165.00013765652392,0.537,458.79,,21257166.28,3.3,,12.7,
WELL-1000,813.11,24.35,172.65,115.52,,0.32,9.03,1.87,0.432,0.486,0.252,0.507,748.99,4100.55,14665763.67,1.89,44.02,15.87,0.306
WELL-1000,814.9,32.87,27.9,86.71,934.3083469886598,0.078,9.74,3.31,0.353,0.188,269.2322507478755,,72490.23790659718,1244213.4595144424,20550607.45,1966.3252222981546,ERROR,12.0,0.314
WELL-1000,823.59,146.08,58.61,69.1,,0.217,984.0573115860782,3.25,0.628,0.164,XYZ,0.563,XYZ,3665.66,13129557.71,1.83,49.33,15.54,0.356
WELL-1000,825.63,71.63,156.28,73.5,,0.151,11.64,2.89,,0.47,XYZ,0.721,436.53,3723.05,21032927.53,XYZ,26.27,17.38,0.253
WELL-1000,831.83,ERROR,7.35,59.6,2.682,0.058,8.66,4.81,0.492,0.244,0.538,0.243,106573.2567622213,2185.94,5450799.49,4.35,19.69,29.86,NULL
WELL-1000,839.03,43.14,173.92,85.47,2.375,0.294,9.46,,0.609,0.158,0.924,0.234,734.79,3207.02,NULL,3.21,XYZ,1714.1459653614177,0.34
WELL-1000,842.61,31.95,25.87,114.11,2.224,0.328,11.35,3.19,0.376,0.272,0.319,NULL,856.4,4801.45,8833511.53,2.2,47.16,5.55,0.384
WELL-1000,850.8,144.52,80.33,90.32,1.964,0.168,8.89,ERROR,0.218,0.378,0.316,N/A,677.63,3144.69,23577665.93,1.1,19.93,24.13,0.329
