well_id,date,measured_depth_m,mud_weight_ppg,rop_m_per_hr,borehole_diameter_in,fluid_loss_rate_ml_per_min,pump_pressure_psi,bit_type,operator_name,rig_id,drilling_fluid_type,wellhead_pressure_psi,formation_pressure_psi,wob_kN,rpm,torque_ft_lbs,standpipe_pressure_psi,direction_azimuth_deg,inclination_deg
WELL-1000,2010-03-13,152471.6611240347,7043.101635871437,ERROR,10.64,N/A,2061.31,Roller Cone,Weatherford,RIG-2,OBM,1094.97,5400.57,XYZ,172.13,6939.75,772.95,130.61,40.49
WELL-1000,2010-03-14,190053.59776475318,11.51,19.58,10.48,18.92,2995.36,,Schlumberger,RIG-1,WBM,1186.83,3048.94,29.97,133.66,8850.19,ERROR,N/A,73.05
WELL-1000,2010-03-15,888,8.99,27.32,9.02,23.85,1848.6,Roller Cone,Baker Hughes,RIG-3,WBM,2846.78,5274.54,65.69,105.38,,N/A,215.41,7.82
WELL-1000,2010-03-16,893,XYZ,25.72,10.85,23.26,4282.87,Diamond Impregnated,Halliburton,RIG-1,OBM,1603.61,4991.38,27.19,121.86,793.9,3372.46,273.84,79.39
WELL-1000,2010-03-17,910,10.5,16.25,9.49,30.67,3039833.8726734254,PDC,Baker Hughes,RIG-1,OBM,1874.15,4544.65,168.11,107.54,6175.19,1149.31,208.57,68.02
WELL-1000,2010-03-18,916,10.0,9653.621259227786,9.25,14320.552305972717,4222.55,Roller Cone,Baker Hughes,,,2463.86,4131.5,187.91,111.62,5389.2,1470.11,129.19,13.68
WELL-1000,2010-03-19,934,10.67,XYZ,9.23,,2849.61,Diamond Impregnated,Nabors,RIG-5,WBM,2470.36,XYZ,192.63,,189.52,4013.64,166.7,18569.84016185988
WELL-1000,2010-03-20,940,11.41,5659.272996562319,9.46,39.59,1431.64,,Halliburton,RIG-3,WBM,1856.95,5828.95,156.89,138.8,4422.3,4710.33,66.49,57.47
WELL-1000,2010-03-21,958,9.34,,12.21,4.36,4426.03,PDC,Halliburton,RIG-5,WBM,2959.05,2049.4,144.86,62.84,5626.86,3188.56,ERROR,67.35
WELL-1000,2010-03-22,,11.56,,12.24,33.06,,PDC,Schlumberger,RIG-4,OBM,152314.72362615014,5345.57,95.35,118.86,5485.03,3134.43,238.82,9.89
WELL-1000,2010-03-23,987,9.1,16.98,10.96,12.58,4034.87,,Weatherford,RIG-1,SOBM,,2675.23,98.76,133875.5610654582,7762.31,1834.29,95.3,32.89
WELL-1000,2010-03-24,,,24.98,11.51,6.81,4081.27,PDC,Halliburton,RIG-4,OBM,2435.84,2967.33,66.11,154.24,7305.56,3878.82,242.22,31.87
WELL-1000,2010-03-25,1022,11.1,NULL,11.29,42.56,3222.86,PDC,Weatherford,RIG-3,OBM,2113.22,,76.32,46158.16108010049,6956.28,,106.15,20.13
WELL-1000,2010-03-26,1041,9.51,11.0,10.04,30.3,3598.81,PDC,Nabors,RIG-5,WBM,2259.79,5052.92,167.94,182.1,2895.04,1259219.0772364961,0.93,71.93
WELL-1000,2010-03-27,1046,10.68,XYZ,9.94,6.73,3041.25,PDC,Weatherford,RIG-1,OBM,2058.68,5201.37,37.72,70.96,2296.6,596.33,331.12,48.78
WELL-1000,2010-03-28,1065,11.22,23.68,10.72,,1708.04,Diamond Impregnated,Weatherford,RIG-1,WBM,1273.72,5541.04,122.72,86.95,3914.44,4298.49,44.68,NULL
WELL-1000,2010-03-29,1083,10.03,20.84,10.69,21.5,974.44,Diamond Impregnated,Halliburton,RIG-5,OBM,1735.98,5185.48,105.9,76.73,2857.24,2011.94,XYZ,16.81
WELL-1000,2010-03-30,1095,2555.6330919525967,21.45,10.85,38.48,1708.29,PDC,Baker Hughes,RIG-4,WBM,2111.87,4066.62,21.11,113.51,9451.79,1214.95,18.27,45.74
WELL-1000,2010-03-31,1108,11.75,6.41,11.31,13.67,1068.14,Roller Cone,,RIG-1,WBM,1702.57,2161.87,170.16,61.66,1708.36,2405.15,23017.42893589196,31.94
WELL-1000,2010-04-01,1126,8.84,19.96,12.24,13.0,906.81,PDC,Weatherford,RIG-2,SOBM,2580.02,5307.49,151.32,128.33,8502.63,4210.94,6.74,46.8
WELL-1000,2010-04-02,1145,8.74,19.62,11.74,10.85,752.62,PDC,Schlumberger,RIG-5,SOBM,1841.49,5945.42,52.18,171.37,2177.39,4978.97,116.29,73.32
WELL-1000,2010-04-03,1160,NULL,15985.180552235022,9.6,16957.126811397327,3158.2,Roller Cone,Weatherford,RIG-5,WBM,1217.83,4093.83,55.91,100.84,3787.9,,,40.69
WELL-1000,2010-04-04,,10.28,6.85,,18.47,2370.35,,Schlumberger,RIG-2,,1031.5,3800.76,30.96,137.12,1562.39,,4031.701210426476,43.73
WELL-1000,2010-04-05,1188,9.93,23.99,9.65,40.31,4021.37,Roller Cone,Baker Hughes,RIG-2,WBM,2937.25,2200.23,66.97,95.11,2426.03,2298.45,101.38,4.17
WELL-1000,2010-04-06,1202,9.99,28.79,10.88,16.69,4133.41,Diamond Impregnated,Weatherford,RIG-1,SOBM,XYZ,3099.0,188.61,39485.231253782,8089.5,4612.59,208.95,30.83
WELL-1000,2010-04-07,1218,10.23,12.95,9.07,47.4,4029.57,Diamond Impregnated,Schlumberger,RIG-1,SOBM,2956.79,4251.25,131.58,68.83,9772.93,3380.55,129.18,53.72
WELL-1000,2010-04-08,1232,8.97,27.0,11.55,48.34,3927.12,Roller Cone,Nabors,RIG-2,SOBM,ERROR,3807.05,153.03,131.0,2176.17,427174.36485037714,71.36,76.9
WELL-1000,2010-04-09,285934.3312093271,11.0,10774.278103273879,11.92,3.92,1461.39,Roller Cone,Schlumberger,RIG-4,SOBM,1609.1,,168.47,111.3,1885.12,1682.83,39.66,32.22
WELL-1000,2010-04-10,NULL,9.13,9.07,9.56,4.99,3586.9,Roller Cone,Nabors,RIG-2,OBM,2448.96,4318.73,189.23,115.48,6407.7,4269.62,107.04,25.27
WELL-1000,2010-04-11,1272,10.0,11.51,2664.108681896704,3.15,3901.32,Diamond Impregnated,Weatherford,RIG-5,WBM,1687.29,2306.04,130.27,77.51,8322.52,1721.52,305.4,10807.9118492429
WELL-1000,2010-04-12,945610.8495911439,9.77,27.15,114.77156973917727,32.95,1106.66,PDC,Nabors,RIG-5,OBM,,2723.07,57.72,NULL,3484.53,4436.19,164.9,NULL
WELL-1000,2010-04-13,946720.1292216243,,21.51,11.59,46.88,1761.71,Roller Cone,Halliburton,RIG-3,OBM,1179.84,4674.35,18.65,137.91,2905.69,948.96,348.76,88.57
WELL-1000,2010-04-14,1309,XYZ,25.42,,26.85,2016.67,Diamond Impregnated,Schlumberger,RIG-4,OBM,2968.93,4729.96,87.18,62.02,ERROR,1844.03,246.02,63.02
WELL-1000,2010-04-15,1329,11.24,23.03,9.91,30.7,3046.89,,Baker Hughes,RIG-4,WBM,1927.42,5468.76,22.8,NULL,702.93,590.4,158.33,1.78
WELL-1000,2010-04-16,1349,9.71,10.49,10.99,2.88,2008.82,,Schlumberger,RIG-1,SOBM,2944.02,2907.24,109.1,107.41,4437.69,2805.12,293.8,8.88
WELL-1000,2010-04-17,1358,6610.810391457025,14.93,10.37,19.99,623.85,PDC,Nabors,RIG-5,WBM,2983.88,5082.49,185.49,,8203.06,1301.59,147.76,16.8
WELL-1000,2010-04-18,1374,,9077.162147875184,11.11,30.95,105636.43048853363,Diamond Impregnated,Halliburton,RIG-3,WBM,2768.63,3729.55,36.08,,4310.0,4034.65,222.09,69.96
WELL-1000,2010-04-19,1391,9.74,27.95,10.79,15.26,1743.65,Diamond Impregnated,Schlumberger,RIG-3,SOBM,1256.48,3798673.403405461,83.8,81.0,,2841.65,72.42,10.24
WELL-1000,2010-04-20,XYZ,10.12,16.34,9.71,46.38,4339.46,Roller Cone,Halliburton,RIG-4,OBM,XYZ,5013.62,106619.80561486022,195.41,3786.12,968.45,55899.92059478375,7.14
WELL-1000,2010-04-21,1189188.879345644,10.19,,11.44,40.53,4175.44,PDC,Schlumberger,RIG-2,WBM,1386.45,3240.51,24.2,173.29,711.04,545.52,323.29,77.46
WELL-1000,2010-04-22,1427,8.9,23.38,10.87,N/A,573.21,PDC,Nabors,RIG-2,,1394.02,5355.99,13.9,116.29,5340.43,2691.61,194.99,32.56
WELL-1000,2010-04-23,1440,11.97,21.2,10.29,17105.36360503126,1233.45,PDC,Halliburton,RIG-3,SOBM,1520.18,487870.6233187605,84.36,193.51,6353.15,1897.45,206.96,38.95
WELL-1000,2010-04-24,1453,9.91,11.11,10.81,8.7,2793.05,Diamond Impregnated,Weatherford,RIG-3,OBM,,3879.27,157.74,117.8,4464.71,4592.79,268.34,25.5
WELL-1000,2010-04-25,1462,11.16,13.91,10.44,43.11,4807.84,Diamond Impregnated,Baker Hughes,RIG-5,OBM,2004.95,4183.57,136.02,52.98,1047.59,4913.51,95.72,87.44
WELL-1000,2010-04-26,1481,8.89,27.17,9.71,14.95,1558.5,Diamond Impregnated,Weatherford,RIG-5,SOBM,2627.31,3231.33,114.95,126.2,2268.55,4827.23,222.17,69.84
WELL-1000,2010-04-27,1486,9.45,28.24,11.21,,3958.39,Diamond Impregnated,Baker Hughes,RIG-1,SOBM,1704.01,4756.21,63.08,67.24,,1151.49,294.32,35.26
WELL-1000,2010-04-28,1500,8.87,13.64,9.23,14.94,2570.99,Roller Cone,Halliburton,RIG-3,SOBM,2258.46,5657.1,163.41,75.4,4563.67,1692908.5021009594,358.06,11.11
WELL-1000,2010-04-29,1511,10.37,22.31,11.2,16.1,4405.69,Diamond Impregnated,Baker Hughes,RIG-3,WBM,1894.08,3428.66,151.11,157.97,N/A,561.28,43.0,53.91
WELL-1000,2010-04-30,1529,11.26,27.62,10.87,6.12,3032.46,Diamond Impregnated,Weatherford,RIG-4,OBM,1143.17,4829.56,188.02,131.3,6189.0,2529.6,142.03,41.63
WELL-1000,2010-05-01,,11.44,16.94,2150.1789785332126,12.84,4316.07,Roller Cone,Schlumberger,RIG-2,SOBM,2815.93,1465614.7789190698,63.95,,2385.77,1724.78,0.88,26.71
WELL-1000,2010-05-02,1550,9.05,26.86,N/A,0.75,4912.55,PDC,Nabors,RIG-4,WBM,1971.19,3344.56,32243.74235111571,173.67,9640.86,3743.2,303.64,85.37
WELL-1000,2010-05-03,1556,10.92,28.31,11.54,1.47,3342.98,PDC,Weatherford,RIG-3,WBM,,5244.31,46.16,165.17,5543.43,3840.15,165503.00826512073,16.96
WELL-1000,2010-05-04,1576,9.0,14.6,11.18,41.2,2190.43,PDC,Nabors,RIG-4,WBM,2813.98,4949.59,,127.16,7295.11,,221.41,39.01
WELL-1000,2010-05-05,1593,9.69,18.38,11.43,42.58,2906.65,Diamond Impregnated,Schlumberger,RIG-4,SOBM,1196.65,2542.82,168.73,57.85,XYZ,4472.16,63.94,49.89
WELL-1000,2010-05-06,1600,XYZ,29.93,4055.4797003762005,18.21,1511.64,Diamond Impregnated,Baker Hughes,RIG-3,SOBM,1364.56,5079.04,13.16,197.89,9655.11,3219.82,137.24,21.49
WELL-1000,2010-05-07,1618,,24.51,NULL,39.71,2307.58,Diamond Impregnated,Nabors,RIG-2,WBM,1354.2,4393.03,128.37,52.1,1501.88,3112.74,266993.76732005156,14.49
WELL-1000,2010-05-08,1623,10.2,19.56,2712.2669247863905,21.0,3358.15,Roller Cone,Schlumberger,RIG-5,OBM,1981.56,1052330.9760427482,143.54,64.07,4109.73,1580053.6013363316,351.08,8.89
WELL-1000,2010-05-09,1638,,7.42,9.56,46.16,N/A,Roller Cone,Schlumberger,RIG-2,OBM,1703.18,5716.32,108215.95409155208,,5231.5,,232.2,53.34
WELL-1000,2010-05-10,1655,10.24,22.46,12.08,36.17,1304.01,,Schlumberger,RIG-4,WBM,XYZ,2919.81,179.15,116.33,8679.06,1346.75,282.92,14.49
WELL-1000,2010-05-11,1664,8.82,23.11,10.7,32.56,2103489.918015906,Diamond Impregnated,Halliburton,RIG-3,OBM,2423.01,3022.18,126.62,109.81,9869.57,2079.39,224.81,69.51
WELL-1000,2010-05-12,1683,9.87,18.07,8.83,8.94,3658.94,Diamond Impregnated,Nabors,RIG-4,WBM,1329.24,3649970.9587000804,13033.063203673792,175.36,5817.91,4261.0,34.72,48.74
WELL-1000,2010-05-13,1690,11.03,26.88,10.01,25.32,913.3,Roller Cone,Nabors,RIG-5,WBM,1010.67,5293.91,195.47,ERROR,7209.03,2231.39,288.93,59.9
WELL-1000,2010-05-14,1708,11.89,9.06,12.15,ERROR,4104.05,Roller Cone,Nabors,RIG-4,SOBM,2311.7,3242.72,193.48,114.6,4806.8,2167.85,165.11,15.6
WELL-1000,2010-05-15,1728,10.75,10.05,11.0,31.36,1405.74,Roller Cone,Weatherford,RIG-2,SOBM,2790.06,5222.34,136.24,N/A,6898.45,2214.2,182.42,
WELL-1000,2010-05-16,1734,10.27,6648.576663382787,10.0,42.0,3333.7,PDC,Nabors,RIG-1,OBM,,3424.2,180.77,191.3,2552588.330313401,2175.9,319.85,4.4
WELL-1000,2010-05-17,1741,9.53,7.66,9.31,24.63,4579.82,PDC,Weatherford,RIG-3,OBM,1651.33,N/A,82.17,XYZ,9378.75,,,50.5
WELL-1000,2010-05-18,1752,8.64,XYZ,8.83,10.81,2303.68,PDC,Nabors,RIG-1,SOBM,1172.46,5642.87,41.21,117.24,6140.07,570.6,,21.19
WELL-1000,2010-05-19,1770,11.02,19.44,9.99,27.99,4304.42,PDC,Nabors,RIG-2,OBM,2131.44,5677.21,170.38,145.18,111.04,4493.55,342.77,80.21
WELL-1000,2010-05-20,1790,9.89,29.4,7243.806678157408,27.4,,Roller Cone,Nabors,RIG-4,WBM,2051.62,2089.15,146.52,155.81,9570.48,4045.16,NULL,20.98
WELL-1000,2010-05-21,1808,10.21,NULL,,9368.858958715444,4144.31,PDC,Halliburton,RIG-2,SOBM,2559.95,4700.92,59.62,188.32,3688.2,788.25,51.55,9.68
